state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,excessive_drinking_raw_value,motor_vehicle_crash_deaths_raw_value,chlamydia_rate_raw_value,teen_births_raw_value,uninsured_adults_raw_value,preventable_hospital_stays_raw_value,diabetes_monitoring_raw_value,hospice_use_raw_value,high_school_graduation_raw_value,college_degrees_raw_value,unemployment_raw_value,children_in_poverty_raw_value,income_inequality_raw_value,inadequate_social_support_raw_value,single-parent_households_raw_value,violent_crime_raw_value,homicides_raw_value,air_pollution-particulate_matter_days_raw_value,air_pollution-ozone_days_raw_value,access_to_healthy_foods_raw_value,liquor_store_density_raw_value,smoking_during_pregnancy_raw_value,motor_vehicle_crash_occupancy_rate_raw_value,on-road_motor_vehicle_crash-related_er_visits_raw_value,off-road_motor_vehicle_crash-related_er_visits_raw_value,no_recent_dental_visit_raw_value,did_not_get_needed_health_care_raw_value,lead_poisoned_children_(wi)_raw_value,municipal_water_(wi)_raw_value,contaminants_in_municipal_water_(wi)_raw_value
US,United States,7261.2,0.1601,3.52,3.39,0.0794,0.2053,0.263,0.1518,15.4,370.2,43,0.172,76.34202672,0.7983,0.312510768,0.736178107,0.270181315,0.058,0.18,46.5,0.2097,0.096845882,469.8606727,6.2,2.5,4,0.395673412,1.013228944,,,,,,,,,
AL,Alabama,10150.4,0.2003,4.26,4.05,0.1011,0.2386,0.309,0.1196,25.3,546.9,54.2,0.156,92.27423959,0.7759,0.355750154,0.662,0.211432702,0.05,0.236,47.1,0.2214,0.10369715,435.0261366,,5.9,1.2,0.391408115,0.675739892,,,,,,,,,
AL,Autauga County,9778.1,0.2586,5.48,4.14,0.0883,0.2814,0.3,0.1359,28.8,370,52.6,0.14,91.80338349,0.8149,0.351167171,0.715189873,0.206436271,0.046,0.138,40.7,0.2761,0.086621067,256.4870124,,4,0,0.25,0.407257326,,,,,,,,,
AL,Baldwin County,8221.7,0.1338,3.57,4.06,0.0877,0.2309,0.245,0.1785,23.6,245.9,48.6,0.209,65.39129887,0.7916,0.43349751,0.670437018,0.263212263,0.041,0.153,44.5,0.1853,0.086006278,171.6232333,,4,3,0.423076923,0.77273781,,,,,,,,,
AL,Barbour County,10686.1,0.2442,6.11,3.84,0.11,0.2268,0.364,0.0984,30.4,585.7,75.2,0.151,92.29719763,0.7968,0.638757875,0.563421829,0.111869031,0.078,0.341,47.4,0.1069,0.143551616,64.00531007,,7,0,0.4,1.066666667,,,,,,,,,
AL,Bibb County,13069.5,0.1817,4.22,5.31,0.0911,,0.317,0.0954,41.3,284,67.5,0.177,96.79425552,0.7453,0.221292797,0.603833866,0.110008446,0.052,0.242,39.8,,0.051257777,127.5807882,,4,0,0.5,0.468581604,,,,,,,,,
AL,Blount County,8929.7,0.2493,5.62,4.47,0.0726,0.2342,0.315,0.0614,28.6,85.1,57,0.208,102.0210634,0.7686,0.362454337,0.730134933,0.116181247,0.041,0.185,41.1,0.1016,0.071205959,93.78285387,,9,1,0.571428571,0,,,,,,,,,
AL,Bullock County,15080.6,,4.99,2.84,0.1328,,0.373,0.0454,54.8,724.4,84.7,0.17,117.3212405,0.7889,0.25446823,0.635036496,0.088261829,0.096,0.387,47.2,,0.175039048,,,13,0,0.25,0.93092534,,,,,,,,,
AL,Butler County,13492.3,0.2196,3.88,3.1,0.1066,0.2751,0.355,0.0933,37.3,633.5,65.9,0.145,177.4155524,0.7037,0.29871574,0.685512368,0.122937294,0.077,0.342,43.9,,0.098212005,217.3769844,,5,0,0.4,0.494731114,,,,,,,,,
AL,Calhoun County,11526.2,0.2456,5.16,4.84,0.0935,0.2678,0.332,0.1213,28,535,60.1,0.133,102.4252607,0.7759,0.254999488,0.649849398,0.169942862,0.051,0.247,45.5,0.2172,0.103289291,535.1313114,,8,0,0.5,0.621095968,,,,,,,,,
AL,Chambers County,10379.7,,4.24,4.89,0.1004,0.1748,0.357,0.0958,27.6,634,71.3,0.134,86.40359627,0.7806,0.416270635,0.636579572,0.101902061,0.132,0.246,40.2,,0.094842786,207.1638599,,7,0,0.75,0.861549065,,,,,,,,,
AL,Cherokee County,11164.4,0.3151,5.55,4.28,0.0872,0.2731,0.307,0.1495,26,152.8,72.1,0.183,117.1956905,0.8314,0.238764081,0.677710843,0.084845373,0.052,0.291,44.4,,0.08866308,31.35522746,,9,0,0.4,0.407730572,,,,,,,,,
AL,Chilton County,12533.8,0.2322,5.67,5.12,0.0987,0.2692,0.339,0.1005,41.4,233.6,62.4,0.182,100.2681985,0.8231,0.353129242,0.712927757,0.101641099,0.045,0.243,45.5,0.2368,0.077478375,393.5282918,,5,0,0.857142857,0.718562874,,,,,,,,,
AL,Choctaw County,10827.4,0.2496,6.58,4.02,0.1149,0.1716,0.361,0.0552,45.4,470.8,56.3,0.177,79.56612238,0.8603,0.480941197,0.658536585,0.106386469,0.075,0.296,47.7,0.2469,0.110410439,20.92731247,,4,0,0.2,1.39275766,,,,,,,,,
AL,Clarke County,10108.2,0.2828,3.42,2.43,0.105,0.2013,0.351,0.1316,45.7,612.9,56.4,0.143,117.8272678,0.6683,0.491534014,0.662561576,0.134215168,0.082,0.309,52.4,,0.081624154,98.7685191,,5,0,0.333333333,1.121537254,,,,,,,,,
AL,Clay County,10353.6,0.2648,4.84,3.96,0.0928,0.2354,0.316,0.0602,20.3,404.9,61.4,0.182,126.5756411,0.599,0.243950634,0.624338624,0.088157935,0.071,0.228,42,,0.083375312,,,6,2,0.333333333,0,,,,,,,,,
AL,Cleburne County,10690.6,0.2459,5.47,4.64,0.09,,0.293,0.0963,29,163.3,72.3,0.178,104.2900037,0.7718,0.334871235,0.682634731,0.103839961,0.045,0.227,42.6,0.1504,0.072057741,232.3815659,,8,0,0.4,2.072682051,,,,,,,,,
AL,Coffee County,9004.7,0.2032,3.82,4.26,0.0913,0.2353,0.325,0.1464,23.5,549.7,55.9,0.172,112.0797093,0.8007,0.377321413,0.783519553,0.201986648,0.043,0.232,44.7,0.1828,0.105981899,162.0145014,,6,0,0.333333333,0.656886359,,,,,,,,,
AL,Colbert County,10145,0.2009,4.48,4.7,0.1121,0.2954,0.357,0.0858,25.6,443.7,53.6,0.149,98.00305553,0.8209,0.3309146,0.684750733,0.157209302,0.058,0.239,43.5,0.2211,0.073678638,244.0128183,,5,1,0.5,2.017867298,,,,,,,,,
AL,Conecuh County,12893.3,0.1701,4.72,3.41,0.1219,0.1259,0.326,0.0423,41.1,276.1,59.5,0.157,272.9323478,0.5984,0.412362845,0.572463768,0.104494079,0.084,0.366,47.5,,0.115753038,151.1982461,,2,0,0.166666667,2.249718785,,,,,,,,,
AL,Coosa County,13313,0.229,2.58,2.18,0.1143,,0.345,0.042,37.5,489,53.1,0.185,71.7801711,0.8431,0.460423163,0.510791367,0.090578308,0.074,0.232,44.1,,0.092869163,274.5325321,,4,0,0,0.915918666,,,,,,,,,
AL,Covington County,10992.5,0.2238,2.99,3.17,0.088,0.2807,0.316,0.1027,33,359.9,70.1,0.161,187.4370266,0.7308,0.313773265,0.693386774,0.136065123,0.053,0.311,45.8,0.1564,0.091349146,281.5906704,,5,0,0.333333333,1.900934173,,,,,,,,,
AL,Crenshaw County,9564.5,0.2645,5.24,4.45,0.0932,,0.346,,38.8,473.8,61.2,0.186,110.6253403,0.7347,0.240823391,0.652941177,0.123895707,0.05,0.254,46.5,,0.103094636,180.1275498,,5,0,0.25,0.728969238,,,,,,,,,
AL,Cullman County,9687.6,0.2119,4.41,5.29,0.0869,0.2653,0.294,0.0669,32.6,145.9,54.8,0.189,101.277209,0.8046,0.351204701,0.739267016,0.131987691,0.043,0.193,45.6,0.1775,0.079141363,173.124416,,6,0,0.538461539,0,,,,,,,,,
AL,Dale County,9254.7,0.2611,4.33,3.73,0.0852,0.2781,0.331,0.1969,23.2,462.9,58.9,0.151,105.0942136,0.8041,0.422720921,0.641390205,0.147606125,0.048,0.241,41.4,0.1682,0.107870174,386.9181519,,6,0,0.444444444,0.416285072,,,,,,,,,
AL,Dallas County,14642.6,0.2486,4.3,3.93,0.1192,0.1974,0.412,0.1126,32,1251.6,83.2,0.108,90.31516612,0.6674,0.241976747,0.56122449,0.141755134,0.101,0.42,50.5,0.3349,0.164140524,502.4118853,,4,0,0.555555556,0.462085856,,,,,,,,,
AL,DeKalb County,9667.1,0.2165,4.41,4.9,0.0922,0.1968,0.317,0.1117,30.5,227.9,74.3,0.215,106.3533917,0.7877,0.238207509,0.616321559,0.112849137,0.052,0.261,45.8,0.2768,0.093628609,201.9412094,,3,0,0.357142857,0.297406614,,,,,,,,,
AL,Elmore County,9183.9,0.1777,4.17,3.15,0.0914,0.2169,0.285,0.1131,24.6,433.4,54.2,0.139,97.46664635,0.7677,0.321542383,0.630073801,0.181679451,0.046,0.162,40.3,0.1505,0.09786357,93.67722892,,5,0,0.5,0.397451014,,,,,,,,,
AL,Escambia County,11908,0.2523,3.88,4.04,0.1097,0.2602,0.352,0.0436,37.2,462.4,70.8,0.165,138.0991975,0.7329,0.376119994,0.633986928,0.105685303,0.068,0.306,45.1,0.1925,0.117659529,453.6915606,,4,0,0.285714286,0.532240466,,,,,,,,,
AL,Etowah County,11597.6,0.2098,4.7,4.17,0.0898,0.2768,0.325,0.1381,23.1,470.2,60.5,0.156,106.6398734,0.7642,0.268017248,0.716294458,0.147720658,0.053,0.245,42.9,0.2478,0.1153998,300.3343528,,10,0,0.583333333,0.971713422,,,,,,,,,
AL,Fayette County,11636.7,0.3152,7.06,6.1,0.0876,0.2186,0.33,0.0597,37.8,155.5,58.2,0.14,85.08438597,0.7306,0.208958393,0.672985782,0.1014168,0.065,0.229,42.8,,0.082334558,125.2968788,,6,0,0.4,0,,,,,,,,,
AL,Franklin County,10745.3,0.2474,8.08,4.74,0.0835,,0.298,0.0711,35.3,236.7,76.1,0.2,132.2784463,0.8063,0.285519027,0.679545455,0.09896292,0.067,0.289,41.3,,0.09539042,144.1158167,,5,0,0.571428571,0.653018578,,,,,,,,,
AL,Geneva County,9895.4,0.2651,4.97,3.04,0.0831,,0.323,0.0837,32.4,216.5,55.7,0.187,120.136065,0.7638,0.448335656,0.65,0.086869138,0.048,0.299,45.5,,0.07790066,218.0091097,,5,0,0.444444444,0.388394764,,,,,,,,,
AL,Greene County,14705.1,0.195,4.09,5.95,0.1394,,0.435,,35.5,832.1,75.9,0.151,116.5500876,0.7397,0.300138036,0.44295302,0.117594333,0.076,0.435,53.5,,0.163483074,312.2644557,,4,0,0.166666667,1.090512541,,,,,,,,,
AL,Hale County,11566.4,0.258,4.57,3.58,0.1157,,0.386,0.063,36.7,1305.1,57.5,0.146,90.34466053,0.7465,0.29430332,0.644268775,0.091647845,0.066,0.335,46.1,,0.144244456,331.7149105,,4,0,0.6,0.55769338,,,,,,,,,
AL,Henry County,11469.2,0.1769,3.57,3.67,0.1035,,0.333,0.0072,33.1,502.8,55.3,0.192,81.22293491,0.8612,0.542145376,0.509433962,0.154606697,0.069,0.276,45.3,0.1459,0.097431532,229.9360616,,8,0,0.4,1.210507203,,,,,,,,,
AL,Houston County,8718.4,0.206,3.81,5.14,0.0836,0.214,0.33,0.1188,20.1,678.4,59.8,0.141,82.37413244,0.8502,0.546617236,0.626477541,0.198475927,0.043,0.247,47.1,0.1965,0.113861386,408.9522085,,5,0,0.416666667,0.734576517,,,,,,,,,
AL,Jackson County,11120.5,0.2368,4.29,5.06,0.0925,0.3548,0.308,0.0627,35.5,161.9,54.9,0.157,145.692986,0.7177,0.26232352,0.705438067,0.10523042,0.055,0.234,44.3,0.221,0.07113446,262.1668689,,1,0,0.315789474,0.75397723,,,,,,,,,
AL,Jefferson County,10811.5,0.1653,3.5,3.53,0.1118,0.2312,0.311,0.1464,18.4,934.8,50.9,0.131,63.7499654,0.7871,0.396855821,0.633819379,0.279491709,0.048,0.216,49,0.221,0.112716373,754.6553348,,39,22,0.377358491,0.712361904,,,,,,,,,
AL,Lamar County,8881.2,0.2511,5.76,5.39,0.0869,0.2202,0.298,,35.9,171.8,59.7,0.17,97.76497353,0.6756,0.217339137,0.584210526,0.087606304,0.073,0.255,44,0.1666,0.085588057,20.6332103,,5,0,0.5,0,,,,,,,,,
AL,Lauderdale County,8790,0.1987,4.55,4.09,0.1022,0.1875,0.301,0.0831,23.9,314,39.7,0.175,90.09440119,0.8244,0.278915243,0.705382436,0.195389534,0.051,0.253,46.5,0.1951,0.078356758,148.4364942,,4,0,0.545454546,0.795219594,,,,,,,,,
AL,Lawrence County,11612.8,0.2609,4.37,4.43,0.0888,0.2684,0.321,0.0974,36.9,308.9,55.7,0.167,136.7752184,0.798,0.326381286,0.731707317,0.092045938,0.058,0.216,37.9,0.1997,0.089385475,112.215923,,5,0,0.6,0,,,,,,,,,
AL,Lee County,7790,0.1781,3.49,4.37,0.0812,0.2383,0.302,0.1747,17,448.4,26.5,0.227,65.61296255,0.7868,0.485175824,0.682725396,0.307755068,0.046,0.185,47.3,0.2029,0.107555287,295.9712991,,7,0,0.333333333,0.312419454,,,,,,,,,
AL,Limestone County,8850.9,0.1612,4.08,3.78,0.0908,0.1936,0.277,0.075,32.3,276.1,58.2,0.162,86.70664642,0.8367,0.275305616,0.70109356,0.170084514,0.042,0.173,42.6,0.257,0.074912825,28.30639585,,4,0,0.25,0.27864079,,,,,,,,,
AL,Lowndes County,14888.3,,5.06,4.6,0.1242,,0.403,0.1582,50.9,1097.3,71.5,0.154,71.95770218,0.7593,0.283517545,0.465217391,0.122436848,0.099,0.433,50.3,,0.152442294,435.383372,,5,0,0.2,0.78369906,,,,,,,,,
AL,Macon County,13670.8,0.2029,2.86,1.86,0.1152,0.1393,0.402,0.0995,25.7,991.4,36,0.137,56.15430229,0.7311,0.4849152,0.579661017,0.227088341,0.067,0.38,49.7,0.1782,0.132183179,285.3088135,,7,0,0.285714286,0.443301711,,,,,,,,,
AL,Madison County,8063.6,0.1366,3.51,3.32,0.0985,0.2067,0.309,0.1067,18.4,393,37.3,0.163,72.14503786,0.7703,0.281538186,0.72091131,0.38133123,0.037,0.164,44.4,0.2053,0.100135329,519.444895,,5,3,0.378378378,0.783604384,,,,,,,,,
AL,Marengo County,11361.7,0.2984,6.59,3.66,0.1184,0.1497,0.37,,33.9,938.6,55,0.142,106.6112858,0.6268,0.396103164,0.667664671,0.140418422,0.067,0.281,51.6,0.213,0.129462676,357.9355403,,4,0,0.181818182,0.939364051,,,,,,,,,
AL,Marion County,12385.3,0.2341,4.33,4.34,0.0852,,0.293,0.0431,41.7,155.8,64.4,0.173,138.2586264,0.851,0.34096335,0.696428571,0.096092825,0.072,0.296,45.9,0.2077,0.092118493,129.5701651,,5,0,0.833333333,0,,,,,,,,,
AL,Marshall County,10774,0.1936,4.81,4.5,0.0849,0.2942,0.274,0.0957,29.3,173.2,90.8,0.18,113.0096835,0.772,0.24318469,0.579749104,0.148212774,0.042,0.303,46.8,0.1941,0.098286306,90.30704395,,4,0,0.666666667,1.272824049,,,,,,,,,
AL,Mobile County,10753.8,0.2195,4.54,4.62,0.1153,0.2474,0.299,0.1403,24.3,671.8,62.2,0.147,83.30012493,0.7631,0.44966248,0.6031842,0.193685612,0.051,0.307,47.6,0.2352,0.128171134,401.7107566,,4,2,0.448275862,0.671478097,,,,,,,,,
AL,Monroe County,10013.6,0.1915,5.35,4.07,0.1268,0.2113,0.362,0.0648,32.7,419.8,61.8,0.145,140.6960725,0.7375,0.244875406,0.674556213,0.146939328,0.092,0.32,48.2,,0.122334811,,,4,0,0.285714286,0,,,,,,,,,
AL,Montgomery County,10136.4,0.1788,3.64,3.33,0.1108,0.19,0.33,0.1168,18.7,1184.9,59.1,0.125,60.92498261,0.7785,0.30794115,0.487906589,0.30358877,0.053,0.275,49.6,0.2047,0.139124055,603.3021291,,4,1,0.25,0.886788186,,,,,,,,,
AL,Morgan County,9144.9,0.1475,3.58,3.77,0.091,0.2657,0.35,0.0897,20.5,348.8,60.1,0.176,110.7183291,0.8094,0.335332163,0.64986911,0.191879816,0.047,0.205,44.5,0.2299,0.086737377,238.3298778,,6,8,0.615384615,0.788788684,,,,,,,,,
AL,Perry County,15808,,6.26,4.83,0.1417,,0.402,,45.6,1171.1,54.5,0.128,89.46723799,0.621,0.238078203,0.659340659,0.111442219,0.102,0.464,47,,0.158069607,566.695728,,4,0,0.5,1.873887379,,,,,,,,,
AL,Pickens County,10915.4,0.2197,5.2,3.36,0.1098,0.1562,0.353,0.0783,35.8,367.6,54.2,0.163,111.6265935,0.8351,0.191293476,0.676975945,0.11145448,0.064,0.304,46.5,,0.117155463,285.0636755,,5,0,0.5,0,,,,,,,,,
AL,Pike County,11704.7,0.2103,3.98,3.54,0.1034,0.1771,0.367,0.1144,32.3,840.6,48.7,0.164,94.66858291,0.7382,0.344536243,0.575268817,0.203948098,0.043,0.355,52.5,,0.161630469,176.252733,,6,0,0.333333333,0.99970009,,,,,,,,,
AL,Randolph County,11203.1,0.1513,4.08,4.57,0.1043,0.248,0.317,0.0863,37.6,374.9,71.5,0.176,134.5092609,0.7539,0.259015112,0.646302251,0.116159594,0.066,0.289,43,0.1521,0.09364676,,,6,0,0.4,0.444681608,,,,,,,,,
AL,Russell County,12358,0.2123,5.11,4.47,0.1071,,0.348,,28.4,597,69.4,0.146,63.13832713,0.7298,0.406349816,0.712446352,0.104915049,0.071,0.327,44.3,,0.118626079,,,10,2,0.3,0.201365256,,,,,,,,,
AL,St. Clair County,9973,0.2303,4.53,3.97,0.0905,0.2956,0.339,0.1414,20.5,224.6,56.8,0.169,100.9506547,0.7876,0.386668872,0.667428571,0.138945575,0.045,0.171,39.2,0.2287,0.067763833,199.970671,,7,0,0.384615385,0.400245484,,,,,,,,,
AL,Shelby County,6603.8,0.1148,3.17,3.61,0.0797,0.2034,0.281,0.1107,17.8,127.4,29.5,0.133,70.44952955,0.815,0.450590611,0.835475578,0.390337901,0.033,0.09,43.1,0.1984,0.067131597,127.0031779,,6,16,0.52631579,0.90239982,,,,,,,,,
AL,Sumter County,13296.7,0.2472,4.06,4.43,0.1284,,0.4,,44.7,1109.8,45.7,0.158,62.5830826,0.7308,0.379708045,0.745098039,0.137218643,0.078,0.466,49.2,,0.142004412,207.6381164,,4,0,0.25,1.480604087,,,,,,,,,
AL,Talladega County,10788.8,0.2768,5.07,4.86,0.1195,0.2472,0.328,0.0623,26.2,659,66.7,0.123,95.83570692,0.8065,0.385490984,0.607632094,0.117777409,0.065,0.246,45.2,0.2889,0.114496676,147.292563,,7,0,0.5,0.623791404,,,,,,,,,
AL,Tallapoosa County,10327.2,0.2424,4.65,5.53,0.1085,0.333,0.33,0.1242,28.3,504.8,63.2,0.136,94.69243855,0.7329,0.435934392,0.617059891,0.160175457,0.065,0.257,51.5,,0.10300349,366.6579172,,4,0,0.285714286,0.736684429,,,,,,,,,
AL,Tuscaloosa County,9525.2,0.1761,4.41,4.27,0.1134,0.2215,0.322,0.123,21,594.2,37,0.154,79.49192018,0.7521,0.274146758,0.634324465,0.263813317,0.042,0.217,49.9,0.1689,0.088751496,449.5967358,,5,3,0.357142857,0.398667312,,,,,,,,,
AL,Walker County,15507.1,0.2904,6.43,4.49,0.0912,0.3011,0.324,0.108,40.1,244.2,62.2,0.134,113.747387,0.7799,0.316826139,0.720481928,0.08848543,0.051,0.246,45.1,0.2049,0.088859318,136.6146598,,5,0,0.388888889,0.289297441,,,,,,,,,
AL,Washington County,9774.1,0.1877,6.08,2.06,0.0994,,0.346,0.1133,33.1,385.2,50.2,0.176,114.1042677,0.7129,0.542239618,0.76284585,0.097375616,0.076,0.266,43.3,,0.094274575,99.86556559,,4,0,0.214285714,0,,,,,,,,,
AL,Wilcox County,13015.6,0.2237,3.28,5.73,0.113,,0.394,,45.6,1130.8,72.8,0.141,91.49951195,0.6667,0.346770582,0.721893491,0.111390744,0.127,0.467,51.8,,0.162936147,133.9285714,,4,0,0.153846154,1.58115266,,,,,,,,,
AL,Winston County,10334.2,0.189,5.45,6.34,0.094,0.2725,0.283,0.0875,35.7,69,63.3,0.151,216.9051716,0.71,0.340865316,0.759887006,0.094022158,0.078,0.258,45.2,,0.091955225,151.13627,,5,0,0.375,0,,,,,,,,,
AK,Alaska,7633.9,0.1411,3.54,2.96,0.0588,0.2465,0.282,0.175,16.7,732.9,44,0.181,60.32786335,0.6732,0.099594994,0.665,0.247149301,0.067,0.131,40.1,0.197,0.113894404,,6.2,,,0.373626374,1.493417872,,,,,,,,,
AK,Aleutians East Borough,,0.1748,3.35,4.89,,,0.282,,0,868.9,,0.382,,,,0.75,0.048829098,0.088,0.14,41.9,,0.155893536,,0,,,0.6,0,,,,,,,,,
AK,Aleutians West Census Area,5270.5,0.222,1.46,1.81,,0.3516,0.289,0.2128,16.2,248.1,,0.306,,,,0.791666667,0.110326982,0.06,0.092,34.6,,0.088976378,,5.4,,,0.428571429,2.0500205,,,,,,,,,
AK,Anchorage Borough,6981.4,0.1331,3.55,3.05,0.0633,0.198,0.259,0.1719,12.7,828.1,43.9,0.16,47.00263902,0.6619,0.120963255,0.709921737,0.289124685,0.053,0.105,39.7,0.1758,0.115331885,,7,,,0.387096774,1.214624074,,,,,,,,,
AK,Bethel Census Area,12111.4,0.1726,3.38,2.86,0.0586,0.3445,0.344,0.1622,19.7,2344.4,77.6,0.121,141.9566321,,,0.344410876,0.130824819,0.141,0.286,42.5,0.4947,0.14813062,,11.2,,,0.407407407,0,,,,,,,,,
AK,Bristol Bay Borough,,0.216,3.2,2.41,,,0.342,0.176,12.6,0,,0.213,,,,0.611111111,0.210997443,0.046,0.081,33.3,,0.091836735,,0,,,0.666666667,9.633911368,,,,,,,,,
AK,Denali Borough,,0.0852,2.46,2.23,,0.232,0.284,0.1952,40.3,54.2,,0.217,,,,,0.227203647,0.061,0.068,37,,0.064968153,,0,,,0,10.83423619,,,,,,,,,
AK,Dillingham Census Area,9243.4,0.1248,2.41,2.49,0.0572,0.3863,0.373,0.158,26.1,824.9,61.9,0.159,61.12123687,,,0.510416667,0.164218456,0.094,0.296,43.1,0.2817,0.138652714,,5.8,,,0.285714286,2.015722637,,,,,,,,,
AK,Fairbanks North Star Borough,6430.5,0.1189,3.34,2.84,0.0558,0.2135,0.261,0.1899,15,789.6,39.8,0.18,55.95216448,0.7681,,0.651621106,0.270313086,0.061,0.102,38.8,0.1688,0.105416933,,5.9,,,0.5,0.52740947,,,,,,,,,
AK,Haines Borough,8214.8,0.146,3.65,2.96,,0.1989,0.282,0.1953,18.8,265.8,,0.251,39.82584235,,,0.703703704,0.237951807,0.089,0.171,44.1,0.1014,0.084762866,,6.3,,,1,4.490345757,,,,,,,,,
AK,Juneau Borough,5591.7,0.1045,3.09,2.81,0.0518,0.1894,0.267,0.1826,11.1,400.2,34.1,0.147,58.32078136,0.6168,,0.743951613,0.360168853,0.048,0.089,36.5,0.166,0.103872477,,0.9,,,0.25,3.240965808,,,,,,,,,
AK,Kenai Peninsula Borough,8329.3,0.1386,3.81,3.2,0.0479,0.2253,0.294,0.1617,23.6,229.4,31.6,0.247,66.21179754,0.8149,0.076502915,0.700340522,0.202688926,0.082,0.143,40.7,0.1719,0.101420978,,3.6,,,0.466666667,1.149976042,,,,,,,,,
AK,Ketchikan Gateway Borough,6466.9,0.1257,3.49,3.63,0.0611,0.2498,0.331,0.2218,9.5,500.6,41.3,0.163,76.19639727,0.8333,,0.62037037,0.201577953,0.059,0.118,38.1,0.2151,0.11150213,,7.4,,,0.333333333,2.996479137,,,,,,,,,
AK,Kodiak Island Borough,6370.4,0.0962,2.27,1.95,0.064,0.2197,0.266,0.2332,5.3,474.3,32.1,0.236,70.31383145,0.5909,,0.814049587,0.187492366,0.07,0.09,39.2,0.2646,0.097875226,,0,,,0.125,0.769171602,,,,,,,,,
AK,Lake and Peninsula Borough,,0.1574,1.16,1.2,,,0.34,0.2325,79.2,387.6,53.4,0.237,,,,0.756756757,0.124362895,0.072,0.251,45.1,,0.147959184,,17.6,,,0,0,,,,,,,,,
AK,Matanuska-Susitna Borough,7801.6,0.1622,4.1,3.74,0.0615,0.2915,0.287,0.1431,23.6,295.7,34.1,0.212,50.76835754,0.7596,0.325948511,0.758735441,0.182637664,0.077,0.116,40,0.1646,0.106294999,,4.8,,,0.454545455,1.508712817,,,,,,,,,
AK,Nome Census Area,15301.8,0.1878,3.37,2.46,0.0627,0.4762,0.314,0.213,33.9,2185,89.2,0.134,129.8953578,,,0.472727273,0.147274207,0.105,0.285,42.6,0.3579,0.17564055,,10.8,,,0.5,2.152620816,,,,,,,,,
AK,North Slope Borough,11553.8,0.1607,3.15,1.47,0.0603,0.4524,0.37,0.1483,42.7,1589,97.4,0.143,92.72121003,,,0.539473684,0.169971671,0.043,0.165,36.5,,0.185395922,,12.2,,,0.555555556,0,,,,,,,,,
AK,Northwest Arctic Borough,14061.7,0.2084,4.05,1.93,0.0596,0.4707,0.322,0.1804,21.5,2503,91.7,0.115,98.93078143,,,0.437837838,0.126929674,0.117,0.253,40,0.3651,0.214044944,,7.8,,,0.181818182,0,,,,,,,,,
AK,Prince of Wales-Outer Ketchikan Census Area,8746.6,0.1894,3.88,3.19,,0.3731,0.342,0.1667,7.4,140.6,47.8,0.203,65.67451434,,,0.568965517,0.141690809,0.141,0.238,39.5,0.2103,0.118479222,,5,,,0.444444444,7.088428141,,,,,,,,,
AK,Sitka Borough,7570,0.1149,3.19,3.22,0.0386,0.1905,0.287,0.215,8,504.5,29.9,0.192,124.3314331,0.4462,,0.7578125,0.295470756,0.058,0.105,39.4,0.1345,0.097315436,,0,,,1,2.221235007,,,,,,,,,
AK,Skagway-Hoonah-Angoon Census Area,7669.6,0.1287,4.11,2.4,,0.2425,0.343,0.2,4.4,580.6,,0.249,,,,0.555555556,0.216014078,0.13,0.192,40.5,0.2045,0.084002922,,4.4,,,0.428571429,9.826400262,,,,,,,,,
AK,Southeast Fairbanks Census Area,7255.7,0.2093,4.63,2.94,0.0423,0.257,0.327,0.1454,37.9,118.1,33.6,0.264,39.60858076,0.8636,,0.432432432,0.182236664,0.088,0.196,42.6,0.1911,0.089609152,,7.1,,,0.25,4.466279589,,,,,,,,,
AK,Valdez-Cordova Census Area,8114,0.1528,3.9,3.28,0.0618,0.262,0.318,0.1645,27.2,263.4,31.1,0.236,46.6078685,0.6667,,0.683168317,0.212234125,0.084,0.099,41.4,0.1914,0.099124614,,4.3,,,0.375,5.13294323,,,,,,,,,
AK,Wade Hampton Census Area,16087.5,0.3094,4.41,3.14,0.0648,0.3974,0.299,0.1127,17.7,2097.6,104.3,0.102,215.7319113,,,0.414893617,0.090525633,0.201,0.363,41,0.5071,0.225343321,,5.9,,,0.666666667,0,,,,,,,,,
AK,Wrangell-Petersburg Census Area,7678.2,0.1374,4.05,2.21,0.042,0.2445,0.254,0.1646,18.1,278.9,23.7,0.222,88.65801711,0.8824,,0.840707965,0.162881395,0.106,0.127,43.3,0.2224,0.099729416,,13.5,,,0.5,6.656681644,,,,,,,,,
AK,Yakutat Borough,,0.0894,1.94,3.68,,0.1734,0.287,,38.8,145.1,,0.229,,,,0.916666667,0.176245211,0.075,0.162,41,,0.143396226,,19.4,,,1,0,,,,,,,,,
AK,Yukon-Koyukuk Census Area,15824.5,0.1745,4.11,2.54,0.0399,0.4485,0.294,0.2453,44.5,667.4,49.1,0.221,73.79791153,,,0.549407115,0.142433234,0.143,0.314,45,0.3864,0.172368991,,26.3,,,0.2,0,,,,,,,,,
AZ,Arizona,7612.4,0.157,3.41,3.23,0.0701,0.1945,0.258,0.1561,20,403.3,63,0.207,58.74636767,0.7401,0.501296727,0.705,0.252455354,0.055,0.2,45.1,0.1962,0.099071154,,8.9,0.4,7.4,0.430451128,0.314004724,,,,,,,,,
