state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,food_environment_index_raw_value,physical_inactivity_raw_value,access_to_exercise_opportunities_raw_value,excessive_drinking_raw_value,alcohol-impaired_driving_deaths_raw_value,sexually_transmitted_infections_raw_value,teen_births_raw_value,uninsured_raw_value,primary_care_physicians_raw_value,dentists_raw_value,mental_health_providers_raw_value,preventable_hospital_stays_raw_value,diabetes_monitoring_raw_value,mammography_screening_raw_value,high_school_graduation_raw_value,some_college_raw_value,unemployment_raw_value,children_in_poverty_raw_value,income_inequality_raw_value,children_in_single-parent_households_raw_value,social_associations_raw_value,violent_crime_raw_value,injury_deaths_raw_value,air_pollution_-_particulate_matter_raw_value,drinking_water_violations_raw_value,severe_housing_problems_raw_value,driving_alone_to_work_raw_value,long_commute_-_driving_alone_raw_value,premature_age-adjusted_mortality_raw_value,child_mortality_raw_value,infant_mortality_raw_value,frequent_physical_distress_raw_value,frequent_mental_distress_raw_value,diabetes_prevalence_raw_value,hiv_prevalence_raw_value,food_insecurity_raw_value,limited_access_to_healthy_foods_raw_value,drug_overdose_deaths_raw_value,drug_overdose_deaths_-_modeled_raw_value,motor_vehicle_crash_deaths_raw_value,insufficient_sleep_raw_value,uninsured_adults_raw_value,uninsured_children_raw_value,health_care_costs_raw_value,other_primary_care_providers_raw_value,disconnected_youth_raw_value,median_household_income_raw_value,children_eligible_for_free_or_reduced_price_lunch_raw_value,residential_segregation_-_black/white_raw_value,residential_segregation_-_non-white/white_raw_value,homicides_raw_value,firearm_fatalities_raw_value,population_raw_value,%_below_18_years_of_age_raw_value,%_65_and_older_raw_value,%_non-hispanic_african_american_raw_value,%_american_indian_and_alaskan_native_raw_value,%_asian_raw_value,%_native_hawaiian/other_pacific_islander_raw_value,%_hispanic_raw_value,%_non-hispanic_white_raw_value,%_not_proficient_in_english_raw_value,%_females_raw_value,%_rural_raw_value,communicable_disease_raw_value,self-inflicted_injury_hospitalizations_raw_value,cancer_incidence_raw_value,smoking_during_pregnancy_raw_value,drug_arrests_raw_value,motor_vehicle_crash_occupancy_rate_raw_value,on-road_motor_vehicle_crash-related_er_visits_raw_value,off-road_motor_vehicle_crash-related_er_visits_raw_value,no_recent_dental_visit_raw_value,did_not_get_needed_health_care_raw_value,childhood_immunizations_raw_value,reading_proficiency_raw_value,w-2_enrollment_raw_value,poverty_raw_value,older_adults_living_alone_raw_value,hate_crimes_raw_value,child_abuse_raw_value,injury_hospitalizations_raw_value,fall_fatalities_65+_raw_value,year_structure_built_raw_value,male_population_0-17_raw_value,male_population_18-44_raw_value,male_population_45-64_raw_value,male_population_65+_raw_value,total_male_population_raw_value,female_population_0-17_raw_value,female_population_18-44_raw_value,female_population_45-64_raw_value,female_population_65+_raw_value,total_female_population_raw_value,population_growth_raw_value
US,United States,6658.113945,,,,0.080716887,,0.28,7.7,0.23,0.830934357,,0.29279146,478.8,26.95026485,0.109216938,0.000754803,0.000673604,0.002142467,49.45,0.851625451,0.630584746,,0.647394125,0.048690359,0.195,4.960280167,0.335642401,9.294539754,379.8544891,64.58209609,,,0.187622122,0.764073132,0.347,336.4,50.44100072,5.968923764,,,0.1,362.3,0.134,0.059012425,16.92863051,19.7851,11.06043004,,0.13208082,0.050479929,9728.93,0.000812184,,57617,0.522999554,,,5.265961566,11.02622684,323127513,0.227904719,0.152398645,0.124499569,0.012548139,0.05669131,0.002387525,0.177856372,0.612667136,0.044862396,0.507689947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Alabama,9642.412033,0.214024057,4.40045752,4.577366748,0.101486972,0.215381544,0.347,5.6,0.29,0.628189507,0.141781459,0.258924537,543.6,35.553835,0.118981338,0.000651577,0.000467584,0.000844077,62.02,0.84960256,0.627884556,0.893225368,0.595828128,0.059870092,0.247,5.265774488,0.380895157,12.27006744,436.0252882,76.99133721,10.1,0.074626866,0.154570006,0.857281392,0.334,468.7,72.79316446,8.681847377,0.14016049,0.145488312,0.137,302.4,0.177,0.07921425,15.20074314,16.2075,19.1157158,0.377209546,0.152523192,0.030900499,10260.56,0.000673822,0.17102818,46309,0.510895535,57.20440843,51.55023281,8.834696441,18.61528606,4863300,0.225530607,0.161320708,0.264898937,0.006977155,0.014159933,0.001042091,0.041914955,0.65838772,0.011379624,0.515640409,0.409631829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Autauga County,9409.294766,0.184111244,4.200577983,4.306739284,0.085946312,0.191246585,0.364,7.1,0.309,0.71120192,0.168780151,0.267857143,341.2,27.99675827,0.093877119,0.000451696,0.000324816,0.000126317,81.85,0.839662447,0.626931567,0.9,0.619420189,0.052711607,0.193,4.388346157,0.244714089,13.9122265,265.6997471,72.58466405,10.8,0,0.152179266,0.867500617,0.408,449.6,56.18690301,7.718501703,0.128244345,0.126383571,0.124,225.5,0.139,0.11991125,10.2312257,5,20.16775435,0.359054061,0.12193092,0.025953131,10674.34,0.000288725,0.1457,54487,0.484753877,26.3470479,24.00091231,3.619853344,16.97253339,55416,0.244081132,0.147285982,0.190486502,0.004854194,0.011404649,0.001010539,0.026887542,0.75,0.00832739,0.512884366,0.420021623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Baldwin County,7467.596664,0.180604578,4.098747769,4.249648781,0.084802905,0.167954852,0.293,7.9,0.245,0.685189148,0.167149687,0.303797468,338.8,31.96513779,0.115243966,0.000726527,0.000493856,0.000891817,46.3,0.832122371,0.659652333,0.85,0.637570997,0.054152628,0.176,4.600735228,0.258114409,11.04516737,216.7730783,71.49201022,9.6,0,0.14310156,0.846460433,0.401,351.3,47.68877743,5.545407098,0.126220016,0.128225582,0.111,163.9,0.13,0.054244266,18.4525044,10,15.28118477,0.333058681,0.147198609,0.032734385,9537.12,0.000436319,0.1541,56460,0.457954803,43.96994085,30.67491516,2.705281514,14.71894328,208563,0.2173444,0.197081937,0.090428312,0.007709901,0.01074975,0.000594545,0.044164114,0.832021979,0.008188092,0.514578329,0.422790991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Barbour County,8929.474982,0.257734156,5.067438304,4.634994147,0.117412935,0.215408776,0.442,5.5,0.306,0.528426267,0.126987154,0.357142857,557.9,50.18920534,0.133104521,0.000415267,0.000346621,7.70268E-05,58.44,0.891428571,0.63030303,0.861734694,0.397236615,0.086485184,0.396,5.861660079,0.563014899,7.927819095,328.659071,66.60779236,10.1,0,0.152542373,0.827849254,0.351,433.6,66.59563133,,0.162161596,0.146323106,0.182,436,0.234,0.107396666,,4,18.5978299,0.385631671,0.174015509,0.036341506,9790.62,0.000269594,0.3068,32884,0.663026106,25.58944974,22.35676524,8.501865097,14.21964107,25965,0.211361448,0.180165608,0.475139611,0.006316195,0.004506066,0.001733102,0.042133641,0.464509917,0.0151937,0.46932409,0.677896347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Bibb County,11741.93889,0.199969119,4.363377278,4.315710019,0.112582782,0.199164042,0.384,7.6,0.375,0.485926249,0.159251508,0.275862069,302.1,47.26027397,0.118558812,0.000531373,0.000220819,8.83275E-05,92.87,0.81981982,0.613065327,0.85,0.498213706,0.066371165,0.275,4.22812682,0.314279643,10.62746314,147.2908995,95.70989268,10.5,0,0.123587571,0.850724638,0.488,529.1,116.3159564,14.77541371,0.131629683,0.128540361,0.146,191.9,0.161,0.02601627,22.14610524,8,27.12557248,0.381488654,0.150705685,0.031412523,10755.78,0.000750784,0.2513,43079,0.613184828,43.4873279,42.1680096,8.200754469,21.26886504,22643,0.207525505,0.154308175,0.216181601,0.003798083,0.001987369,0.001192422,0.024996688,0.744159343,0.004481374,0.463631144,0.683526075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Blount County,9359.122343,0.210953232,4.512752648,4.701599259,0.077916667,0.196521582,0.358,8.5,0.29,0.32272077,0.153787219,0.2,114.3,39.62477762,0.139636594,0.00020807,0.000190628,8.66491E-05,57.82,0.876595745,0.595842956,0.9120625,0.538664574,0.05520897,0.194,4.068236891,0.272942394,8.842959444,211.5988362,104.5728097,11.3,0,0.110580368,0.861077283,0.602,480.2,55.37507383,5.294366794,0.137200568,0.138279427,0.144,95.4,0.113,0.028801498,21.37542173,8,22.53629954,0.359450104,0.17699115,0.044895316,10326.33,0.000121309,0.1535,47213,0.545201669,39.9387033,24.22629901,6.191291082,19.044717,57704,0.231907667,0.179866214,0.014349092,0.006273395,0.002651463,0.001126438,0.090686954,0.874670733,0.018785061,0.506134757,0.89951502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Bullock County,12343.05287,0.294077139,5.22661939,4.791918477,0.147270855,0.234782912,0.402,4.5,0.298,0.221916804,0.128963173,0.666666667,733.9,65.83541147,0.145044319,0.000280479,0.000193013,9.65065E-05,67.02,0.858490566,0.6,0.875,0.337160752,0.071710663,0.457,6.046643914,0.719259586,9.349289454,302.2860382,109.5683385,9.8,0,0.18024032,0.764465786,0.377,581.5,133.9285714,,0.166324794,0.148400547,0.195,691.3,0.244,0.197433507,,5,48.39295076,0.450206359,0.191509434,0.032130282,10314.38,0.000772052,0.3963,34278,0.671760797,19.76566855,19.11312296,,,10362,0.21298977,0.162516889,0.692723413,0.009071608,0.002605675,0.007334491,0.077880718,0.215305926,0.009575648,0.459563791,0.513743815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Butler County,12779.30485,0.265026132,5.117432617,5.134573082,0.116158712,0.221976555,0.36,6.5,0.339,0.460400057,0.130428113,0.275,827.7,43.45772319,0.122426471,0.000347326,0.00030003,0.000250025,93.13,0.807050093,0.623616236,0.83,0.422217668,0.071287779,0.366,5.05293385,0.509044478,10.91594721,523.4399357,97.01049297,9.4,0,0.148394912,0.850864647,0.317,602.7,100.2321165,,0.161979282,0.154742051,0.175,268.4,0.22,0.029261219,,5,21.03536044,0.419110839,0.160396717,0.027504105,10176.13,0.000550055,0.2067,35409,0.72631579,30.05662364,29.09462613,16.12710967,30.68699268,19998,0.235723572,0.190219022,0.441044104,0.00380038,0.010751075,0.00050005,0.01310131,0.522152215,0.008703859,0.533853385,0.712321574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Calhoun County,11527.7812,0.195847014,4.290448066,4.476572166,0.087667162,0.204622318,0.361,6.8,0.325,0.48217117,0.15431677,0.228571429,587.5,39.71172778,0.113968681,0.000648677,0.000602037,0.000942318,72.8,0.812700965,0.568954458,0.921633739,0.567435239,0.066973839,0.257,4.86160925,0.383805732,14.01141671,574.3235555,74.11505759,11.6,0,0.15292172,0.849859161,0.294,564.3,77.28958156,8.75974789,0.130209526,0.138065685,0.163,211.2,0.174,0.091785666,15.60030854,6,17.02288169,0.41314344,0.14514503,0.028918406,10901.19,0.00050606,0.1907,41778,0.588683412,46.98479622,41.77834222,9.185008107,22.23451728,114611,0.218303653,0.168805787,0.207344845,0.005200199,0.009196325,0.000985944,0.035773181,0.726239192,0.00709622,0.518911797,0.336968256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Chambers County,10350.04758,0.252198355,5.037044668,4.93264621,0.118214286,0.220403696,0.38,6.1,0.326,0.632091188,0.135284509,0.224489796,792.3,55.08415635,0.13314427,0.000468892,0.000236386,2.95482E-05,62.49,0.822072072,0.572265625,0.85,0.463898242,0.055438086,0.325,4.701950038,0.476940226,18.16956305,526.8559699,85.74717504,10.4,1,0.184172662,0.880398671,0.325,528.8,58.56011023,7.299270073,0.154282077,0.145600024,0.16,366.9,0.203,0.103285583,,6,23.06834101,0.372665748,0.169638483,0.029494195,9256.66,0.000147741,0.2629,39530,0.711672474,29.15656416,29.69162975,9.646760786,25.8416144,33843,0.211949295,0.190733682,0.393493485,0.002954821,0.010844192,0.000620512,0.022604379,0.560440859,0.003565955,0.520048459,0.491480345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Cherokee County,11683.17111,0.192915935,4.277917079,4.681252945,0.086982968,0.191448526,0.355,8.2,0.359,0.360306283,0.152327307,0.181818182,169,45.30365163,0.116821271,0.000386713,0.000155491,0.000194364,76.63,0.886281588,0.633663366,0.88,0.555656273,0.052136522,0.275,4.640719963,0.322359658,10.05452647,383.6007494,112.4417575,10.8,0,0.157782516,0.845960611,0.459,546,,,0.130095569,0.13643444,0.129,90.1,0.139,0.002211124,15.45973384,8,32.98678879,0.353550708,0.146450196,0.031307892,11470.43,0.000466472,,41456,0.631865413,25.58973907,19.7151637,7.696917385,21.56417267,25725,0.198250729,0.220174927,0.042915452,0.006297376,0.002565598,0.000310982,0.016054422,0.916929057,0.000609013,0.503634597,0.85736273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Chilton County,11099.68353,0.214653072,4.736277114,4.625572407,0.089119171,0.19673275,0.36,8.2,0.298,0.460440391,0.150643127,0.202531646,307.3,51.25996123,0.152329944,0.000182054,0.000250336,0.000386882,65.11,0.89059081,0.64,0.86,0.391185514,0.056179189,0.263,4.902037253,0.32023821,16.61242974,345.8396851,90.6254981,10.5,0,0.14527027,0.828652335,0.476,516.3,56.48387856,6.894790603,0.144453795,0.142607041,0.141,99.5,0.135,0.01460531,12.13822403,9,22.14096632,0.351745693,0.194708432,0.047627704,10515.38,9.10312E-05,0.1958,44188,0.610874338,36.02236671,30.41638034,6.512048919,15.93915796,43941,0.240390524,0.1605562,0.099292233,0.00514326,0.004756378,0.00175235,0.076033773,0.805602968,0.024468865,0.508317972,0.867447242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Choctaw County,11558.65447,0.241112849,4.738148772,4.756276958,0.111342352,0.190620596,0.395,6.2,0.331,0.27368497,0.130252404,0.428571429,375.3,33.51206434,0.118177412,0.000379651,0.000461787,,64.87,0.84,0.543103448,0.875,0.55706619,0.088837209,0.326,5.706254767,0.430915057,20.50113895,111.4249436,111.2029454,9.6,0,0.134841629,0.845281197,0.456,522.3,,,0.146574409,0.142080999,0.166,220.3,0.212,0.072904191,,5,43.61098997,0.382911743,0.146748338,0.037235947,11241.35,0.000307858,0.3448,32691,0.567892977,36.7463659,35.72669872,10.63682682,19.53565257,12993,0.202955438,0.218194412,0.414223043,0.002155007,0.00153929,7.69645E-05,0.009620565,0.566227969,0,0.52435927,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Clarke County,9133.840426,0.277005286,5.034122472,4.803871485,0.132016632,0.209333227,0.384,5.2,0.294,0.480896528,0.133536953,0.303030303,633.4,41.02564103,0.12556391,0.000567376,0.000286979,0.000573959,62.55,0.81496063,0.611307421,0.928605263,0.389725421,0.111471726,0.389,8.798246519,0.352812671,19.04761905,439.4287426,83.61472906,9.6,0,0.130234934,0.83547622,0.349,464,67.45514233,,0.158328396,0.146267438,0.168,162,0.247,0.111547123,,5,35.24569661,0.408447797,0.160695938,0.0314587,9935.26,0.000491965,0.2946,34061,0.564842209,14.39096791,13.45455724,6.253268754,17.68773115,24392,0.219457199,0.190267301,0.440021319,0.004550672,0.00500164,0.000204985,0.014266973,0.528000984,0.002384196,0.526935061,0.759803352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Clay County,10235.92252,0.205876348,4.472032396,4.586048237,0.099796334,0.191394044,0.381,7.8,0.316,0.463106517,0.148191337,0.181818182,287.8,43.30175913,0.143695835,0.000295094,0.000148236,0.000074118,57.37,0.883636364,0.56,0.925,0.441750842,0.061532926,0.282,4.367615144,0.366504854,11.0660273,352.2080737,74.0521327,9.9,0,0.163375224,0.875510963,0.375,531.4,,,0.137920171,0.13857781,0.144,190.9,0.15,0.023268799,,6,25.1799316,0.385405249,0.179951844,0.044955045,9781.85,0.000444708,0.2873,38512,0.617290192,22.20257965,21.39544069,,,13492,0.207678624,0.206640972,0.139119478,0.005410614,0.002445894,0,0.030462496,0.804254373,0.00531084,0.50963534,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Cleburne County,11380.4833,0.183009839,4.350971986,4.623916344,0.086992544,0.197105118,0.346,8.1,0.322,0.458589367,0.159700472,0.25,252,44.5406743,0.1212046,0.000266347,6.70062E-05,0.000402037,67.61,0.829721362,0.494505495,0.98,0.46674151,0.060881496,0.245,4.862316911,0.221422401,9.988014383,149.9250375,97.53099615,10.3,0,0.133865248,0.821345292,0.504,591.9,,,0.13279598,0.136615623,0.127,111.3,0.135,0.020717158,22.21136333,8,25.79905404,0.335047847,0.154750923,0.037253267,11134.31,0.000201019,,43483,0.5777271,49.88962204,36.82656484,,22.71269773,14924,0.230903243,0.18815331,0.030889842,0.004355401,0.001809166,0.000804074,0.024524256,0.92749933,0.008167614,0.502747253,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Coffee County,7295.411499,0.202268714,4.548244453,4.606066663,0.086122267,0.182012209,0.342,7.5,0.298,0.446304156,0.155284197,0.319148936,467.5,30.63000348,0.119332472,0.000566285,0.000331863,0.000546597,52.76,0.88153998,0.630990415,0.962293883,0.614337295,0.060533281,0.213,5.01335236,0.383247892,16.01218488,321.1579928,62.22215265,9.6,0,0.140162431,0.857253297,0.233,409.2,55.75287024,6.991479135,0.135931466,0.134452726,0.155,143.3,0.151,0.059812031,7.825440507,5,16.85345917,0.373047319,0.152815979,0.036298932,9855.89,0.000566119,0.1689,48632,0.469659947,35.49059811,26.34114984,2.808909862,14.87070315,51226,0.237457541,0.164154921,0.172275797,0.014055363,0.015265685,0.004216609,0.069691173,0.706535744,0.014971876,0.505739273,0.471950829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Colbert County,10566.51333,0.202499366,4.33704826,4.491632202,0.101351351,0.183711465,0.346,7.2,0.309,0.645035643,0.158227726,0.086956522,473,38.7051983,0.106027447,0.000625529,0.000424229,0.000258226,74.59,0.874130737,0.681045752,0.888508772,0.540633873,0.070105876,0.251,5.010080291,0.352442885,18.2139309,449.5892001,67.99495735,10.2,0,0.157085562,0.89532088,0.261,504.3,78.91986434,9.363745498,0.131134044,0.13365516,0.174,93.3,0.166,0.065517045,8.583006873,5,19.94651185,0.36950783,0.133568424,0.030556925,10879.2,0.001217353,0.1781,46572,0.497478785,26.56156383,21.41201704,3.674357447,15.43669302,54216,0.211966947,0.192157297,0.159067434,0.006492548,0.005588756,0.000516453,0.024734396,0.787848606,0.002027528,0.517522503,0.438946866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Conecuh County,12051.45211,0.290695147,5.570187931,5.280280409,0.133202742,0.234799972,0.382,5.1,0.31,0.36604173,0.114525511,0.264705882,552.5,46.33345494,0.146579477,0.000394571,0.000161355,0.000645422,140.09,0.797687861,0.66091954,0.825,0.387623387,0.086218158,0.439,5.352951652,0.46716631,9.46969697,566.4613136,89.61559626,9.1,0,0.187872763,0.93152145,0.389,548.5,,,0.179444004,0.165192679,0.182,262.3,0.244,0.132297763,,9,26.6850497,0.42320373,0.188505431,0.034042553,10934.61,0.000161355,0.3592,29758,0.613114754,21.86988633,19.37623901,,18.86644132,12395,0.211133522,0.21468334,0.463009278,0.003872529,0.001774909,0.000322711,0.020008068,0.49963695,0,0.519080274,0.809495011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Coosa County,9704.480849,0.239876076,4.824660434,4.707157119,0.134762634,0.205045703,0.401,6.6,0.296,0.106681688,0.13531704,0.148148148,440.9,44.24357755,0.13481815,,,0.000094509,71.71,0.857142857,0.590062112,0.825,0.44413296,0.061431143,0.293,4.219493792,0.354417671,10.25736665,205.8489495,107.2981223,10.2,0,0.178852643,0.825344353,0.401,521,,,0.150079758,0.144154147,0.156,149.7,0.177,0.101248075,,6,43.2463601,0.36809372,0.162421839,0.04047976,10704.08,0.000094509,,36441,0.750747757,57.63584504,57.99856863,,20.34964388,10581,0.175125225,0.199319535,0.30554768,0.006143087,0.001323126,0.001606653,0.022020603,0.65570362,0.01175677,0.492581042,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Covington County,10307.0633,0.224492892,4.769999561,4.797046713,0.097271268,0.209398108,0.338,7.4,0.309,0.620256852,0.154018905,0.230769231,448.4,55.7956778,0.122630509,0.000502181,0.000347055,0.000533931,93.51,0.805642633,0.596219931,0.952759382,0.540117647,0.069971414,0.281,4.712245275,0.351603785,13.21527686,273.129856,63.47594262,9.2,0,0.151869159,0.851513019,0.27,529.5,69.06284719,7.997440819,0.144747821,0.14119544,0.141,169.9,0.163,0.043703268,9.716713631,5,20.38728287,0.359124488,0.157552143,0.031336725,10886.93,0.000640718,0.2355,35010,0.560509554,43.61879046,39.41151111,,11.10828996,37458,0.219686048,0.203614715,0.126755299,0.006700838,0.004938865,8.00897E-05,0.016311602,0.832238774,0.005938142,0.517512948,0.69651794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Crenshaw County,9452.323779,0.222906023,4.589517957,4.664164618,0.091827365,0.199771366,0.396,6.2,0.299,0.224363584,0.144356462,0.277777778,701.2,49.331963,0.128085742,0.000143236,0.00014375,0.000503127,73.06,0.771331058,0.583756345,0.925,0.451522685,0.060145714,0.288,5.646899876,0.358817861,10.74267708,500.3573981,64.35742685,9.5,0,0.110599078,0.823243243,0.434,524.9,,,0.141538687,0.140616947,0.151,197.5,0.167,0.170390604,,6,22.50892684,0.375518614,0.162453127,0.039114615,10219.74,0.000862503,,37374,0.653416704,19.8302249,20.39267448,10.23133038,21.45247562,13913,0.230503845,0.185941206,0.234600733,0.006109394,0.015668799,0.000215626,0.018759434,0.708042838,0.010942761,0.511679724,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Cullman County,10054.25279,0.207041536,4.496509287,4.750576614,0.083418405,0.203406049,0.346,8.2,0.293,0.552794568,0.158956495,0.21875,337.1,46.50619304,0.141469931,0.000548747,0.000472894,0.001139795,58.65,0.887408394,0.654358974,0.908595388,0.522920974,0.050987671,0.207,4.519329674,0.288019072,12.07243461,169.6818568,87.7115396,11.3,0,0.146501926,0.862428872,0.358,492.5,50.37234694,6.376983539,0.137452814,0.13863816,0.163,75.6,0.129,0.031096063,26.44802962,6,22.18473901,0.353742665,0.181061137,0.037354208,10123.51,0.00077603,0.1845,41543,0.516256003,75.78695918,27.25026772,3.16924843,14.98712581,82471,0.224830547,0.182415637,0.01149495,0.006099114,0.005504965,0.000691152,0.043251567,0.922833481,0.009762609,0.506117302,0.732395592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Dale County,7910.29161,0.226133368,4.716841145,4.441554918,0.081253999,0.186121847,0.365,6.7,0.288,0.603032776,0.143945089,0.404255319,571.9,36.48857917,0.114726905,0.000221931,0.000345346,0.000792264,53.65,0.876221498,0.6,0.904448743,0.595638346,0.05916924,0.297,5.229445387,0.355494553,11.70180571,362.5970765,67.175376,9.8,0,0.136106831,0.870937881,0.259,457.9,53.75997248,5.193186539,0.144452505,0.136408615,0.143,273.3,0.168,0.105593803,10.79076041,6,19.77655361,0.408458477,0.148567757,0.028450212,10691.7,0.000751635,0.1807,40523,0.632156489,31.06204607,24.59990585,6.305567816,14.88316714,49226,0.231097388,0.161682851,0.199041157,0.008653963,0.012696543,0.00172673,0.06147158,0.695262666,0.008523953,0.507089749,0.508885395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Dallas County,12998.98457,0.287051535,5.139038564,5.075556949,0.130653266,0.221968346,0.424,4.3,0.298,0.554084893,0.120164766,0.56,1030.9,48.54921297,0.121296896,0.000705064,0.000324935,0.00044991,63.59,0.781699346,0.638888889,0.900848126,0.471436199,0.093947199,0.583,6.786404834,0.739702185,13.61503489,774.1066042,93.88089163,10.1,0,0.237392374,0.83990201,0.269,639.9,69.99082879,6.982543641,0.173642524,0.165366358,0.175,415.2,0.298,0.115562709,,5,27.47047772,0.423243532,0.162067528,0.024207329,10329.2,0.00039992,0.2752,30488,0.662831984,50.49912877,49.95832235,29.84446962,35.62659477,40008,0.24630074,0.168291342,0.698635273,0.002374525,0.004674065,0.000374925,0.01064787,0.276219756,0.001057164,0.538092382,0.456389776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,DeKalb County,9760.520702,0.230974457,4.54743569,4.650328658,0.085102826,0.223633532,0.305,8.5,0.32,0.484129998,0.148939633,0.320512821,251.9,46.63179785,0.176473564,0.000407704,0.000282087,0.000169253,68.57,0.875993641,0.582010582,0.917804428,0.437342728,0.06203474,0.309,4.581743102,0.321683922,9.278785323,331.1540292,83.61768979,10.7,0,0.142453021,0.863447278,0.305,502.9,49.97215837,5.917159763,0.146116238,0.144119461,0.122,76.7,0.117,0.021669646,18.77097069,7,20.29449115,0.358159216,0.229720745,0.048077988,10156.38,0.000521862,0.2072,37128,0.603600655,64.09231673,30.17584673,5.425260011,13.79551111,70900,0.244569817,0.164146686,0.014753174,0.020691114,0.004287729,0.006812412,0.142595205,0.807235543,0.038304454,0.505133992,0.901306445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Elmore County,8817.977538,0.189579877,4.227616682,4.407985912,0.091940118,0.186610509,0.365,7.6,0.296,0.535944416,0.165722236,0.333333333,419.9,33.24146465,0.093176623,0.000294594,0.000134476,0.000110026,63.86,0.853697749,0.656097561,0.903799392,0.523710689,0.049256657,0.202,4.290311595,0.331927548,10.43354446,275.5819558,76.15057606,11.1,0,0.112877861,0.860207824,0.463,440.7,80.59533084,7.027818448,0.126340483,0.12773386,0.132,228.7,0.142,0.069430217,9.416812696,4,21.40683603,0.384243262,0.119708124,0.028093957,10031.65,0.000244502,0.2304,54553,0.53392939,29.32866356,29.27203259,7.784304013,20.20824349,81799,0.225687356,0.14807027,0.210503796,0.004731109,0.007273928,0.001222509,0.028337755,0.734116554,0.008334318,0.515091872,0.541883661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Escambia County,10773.23,0.244526237,4.850478435,4.695159577,0.1,0.208680775,0.386,6.5,0.32,0.507085258,0.131466349,0.396825397,545.9,53.77298668,0.155459505,0.000396941,0.000344572,0.000477099,95.58,0.791907515,0.643923241,0.841319797,0.358383362,0.067313606,0.307,5.632978723,0.454306848,14.55449999,483.087552,110.4493545,9.1,0,0.132872224,0.913010139,0.294,578.8,74.73841555,8.695652174,0.154077706,0.14715057,0.187,226.4,0.201,0.0721994,26.49006623,11,23.71621851,0.397483296,0.204035762,0.038283063,11031.84,0.000344572,0.3315,35096,0.696647153,33.44202334,30.61354838,11.29343738,20.08170081,37728,0.22182464,0.171888253,0.319126378,0.036020992,0.002730068,0.000556616,0.021734521,0.602655852,0.001740742,0.486217133,0.635115739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Etowah County,11419.0149,0.229736293,4.982018509,4.909352036,0.083503544,0.231303586,0.368,7,0.342,0.436359284,0.138046706,0.188235294,508.1,44.08043681,0.119708923,0.000815083,0.000507001,0.000926251,80.7,0.819649447,0.559552358,0.840658537,0.526756778,0.0596532,0.268,4.586254693,0.382101581,15.62242254,544.1552701,79.03763467,11.2,0,0.133375,0.853795689,0.284,556.3,89.12950187,10.7125662,0.151050551,0.145643989,0.155,187,0.159,0.094006166,17.79060139,9,19.27822332,0.408355939,0.152915202,0.029275611,12308.84,0.000741001,0.186,40972,0.594727435,63.82936439,57.99537119,6.609676567,14.87994589,102564,0.217678718,0.181506182,0.154274404,0.006347256,0.008092508,0.002925003,0.037966538,0.780829531,0.015110692,0.515951016,0.374834818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
