state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,physical_inactivity_raw_value,excessive_drinking_raw_value,motor_vehicle_crash_deaths_raw_value,sexually_transmitted_infections_raw_value,teen_births_raw_value,uninsured_raw_value,primary_care_physicians_raw_value,preventable_hospital_stays_raw_value,diabetes_monitoring_raw_value,mammography_screening_raw_value,high_school_graduation_raw_value,some_college_raw_value,unemployment_raw_value,children_in_poverty_raw_value,inadequate_social_support_raw_value,children_in_single-parent_households_raw_value,violent_crime_raw_value,air_pollution-particulate_matter_days_raw_value,air_pollution-ozone_days_raw_value,access_to_recreational_facilities_raw_value,limited_access_to_healthy_foods_raw_value,access_to_healthy_foods_raw_value,fast_food_restaurants_raw_value,diabetes_prevalence_raw_value,hiv_prevalence_raw_value,mental_health_providers_raw_value,health_care_costs_raw_value,uninsured_adults_raw_value,could_not_see_doctor_due_to_cost_raw_value,dentists_raw_value,illiteracy_raw_value,median_household_income_raw_value,high_housing_costs_raw_value,children_eligible_for_free_lunch_raw_value,homicides_raw_value,access_to_healthy_foods_raw_value.1,driving_alone_to_work_raw_value,population_raw_value,%_below_18_years_of_age_raw_value,%_65_and_older_raw_value,%_non-hispanic_african_american_raw_value,%_american_indian_and_alaskan_native_raw_value,%_asian_raw_value,%_native_hawaiian/other_pacific_islander_raw_value,%_hispanic_raw_value,%_not_proficient_in_english_raw_value,%_females_raw_value,%_rural_raw_value,smoking_during_pregnancy_raw_value,motor_vehicle_crash_occupancy_rate_raw_value,on-road_motor_vehicle_crash-related_er_visits_raw_value,off-road_motor_vehicle_crash-related_er_visits_raw_value,no_recent_dental_visit_raw_value,did_not_get_needed_health_care_raw_value,lead_poisoned_children_(wi)_raw_value,municipal_water_(wi)_raw_value,contaminants_in_municipal_water_(wi)_raw_value
US,United States,7082.91,,,,0.081,,0.269,0.238,,,,41.7,,,68.16238908,0.82526032,0.660907719,0.66,,0.096,0.216,,,459.1024386,4,13,9.881873856,,0.582,0.487500607,,,0.000407,9476.9,,,,,50046,,0.432,,0.582,,,,,,,,,,,,0.21,,,,,,,,,
AL,Alabama,10152.06,0.2,4.2,4.1,0.103,0.231,0.328704498,0.306612854,0.123,25.50366692,556.2,52.8,0.158,0.000797655,82.60259943,0.820360684,0.656074335,0.7,0.556354357,0.095,0.274,0.225,0.366501519,459.2414356,6,8,7.68788381,0.1365,,0.546291728,0.126570628,266.5,0.000198,10049.78,0.197,0.162,0.000298728,0.148,40538,0.290528824,0.512,9.483,0.582,0.835971702,4708708,0.239,0.138,0.261,0.005,0.011,0,0.031,0.023187797,0.516,0.446,,,,,,,,,
AL,Autauga County,9865.83,0.222,4.9,4.1,0.097,0.246,0.341,0.322,0.159,28.38313687,424.9,50.6,0.138,0.000436907,90.71083413,0.842477876,0.638176638,0.845,0.542455086,0.08,0.175,0.237,0.295363246,290.5093729,3,0,7.880841674,0.2102,,0.46875,0.123,185.32,0.00002,10146.32,0.178,0.167,0.000209904,0.127,53049,0.252206106,0.288,,0.333,0.868566064,50756,0.278,0.116,0.184,0.005,0.006,0,0.022,0.009388536,0.514,0.448,,,,,,,,,
AL,Baldwin County,8091.77,0.125,3.4,4.2,0.09,0.227,0.255,0.251,0.197,23.18365332,270,50,0.164,0.000817198,57.96556544,0.809460654,0.716894977,0.726,0.607625594,0.089,0.202,0.193,0.28522118,241.8805199,1,14,10.00678238,0.0072,,0.356687898,0.114,176.71,0.000165,10018.91,0.2,0.161,0.000481427,0.106,47618,0.296059071,0.289,4.496,0.55,0.835134225,179878,0.231,0.17,0.1,0.005,0.006,0,0.033,0.022074118,0.51,0.542,,,,,,,,,
AL,Barbour County,8835.69,0.248,6.1,4.6,0.121,0.234,0.37,0.342,0.11,28.49515582,709.7,74.3,0.194,0.000368682,114.5661211,0.847926267,0.653225807,0.641,0.391407486,0.121,0.362,0.176,0.519582665,189.9647469,7,0,3.362814003,0.0485,,0.636363636,0.14,334.91,0.000067,9979.23,0.24,0.179,0.000324243,0.232,33074,0.325778458,0.651,,0.5,0.789876824,29737,0.223,0.138,0.466,0.005,0.003,0,0.05,0.02133888,0.468,0.715,,,,,,,,,
AL,Bibb County,13096.85,0.205,4.8,5.6,0.1,0.351,0.34,0.372,0.131,41.18971852,319,58.8,0.184,0.000277919,96.04389896,0.815331011,0.582352941,0.673,0.403586033,0.107,0.286,0.291,0.354948806,219.7480223,1,1,4.632417659,0.3534,,0.538461539,0.118,99.939,0,12040,0.229,0.179,0.000178269,0.175,35472,0.204004838,0.478,,0.714,0.849910724,21587,0.233,0.135,0.223,0.003,0.001,0,0.015,0.008244606,0.48,0.815,,,,,,,,,
AL,Blount County,8698.84,0.252,6.1,5.1,0.075,0.227,0.32,0.359,0.052,31.16083109,87,51.4,0.176,0.000224937,87.37595993,0.822866345,0.668341709,0.753,0.446975753,0.089,0.241,0.143,0.252963016,142.597874,3,1,5.141828777,0.294,,0.558139535,0.126,68.977,0.000017,10755.04,0.219,0.186,8.89047E-05,0.139,42906,0.242999272,0.368,5.408,0.5,0.806364167,58345,0.242,0.147,0.021,0.005,0.002,0,0.079,0.042745992,0.502,0.91,,,,,,,,,
AL,Bullock County,13597.75,,5.2,5.7,0.137,,0.394,0.309,0.046,61.95706891,842.9,90,0.211,0.000457834,96.578505,0.831775701,0.649122807,0.583,0.384923525,0.147,0.403,,0.643830128,473.0266484,7,0,0,0.1582,,0.666666667,0.156,378.11,0,10049.02,0.268,,0.000181637,0.342,25969,0.299839228,0.921,,0.333,0.818337408,10985,0.246,0.108,0.682,0.004,0.003,0,0.094,0.007199144,0.445,0.647,,,,,,,,,
AL,Butler County,12230.6,0.241,4.3,3.5,0.113,0.287,0.408,0.366,0.088,36.83087678,602.3,66,0.178,0.000446185,174.5313656,0.796068796,0.533632287,0.755,0.447013093,0.121,0.396,0.276,0.499205719,433.4177215,4,0,0,0.0275,,0.472222222,0.166,222.12,0.00005,12589.61,0.227,0.179,0.000191443,0.206,29500,0.313006609,0.638,14.593,0.5,0.877475876,19964,0.248,0.162,0.419,0.002,0.005,0,0.01,0.005217391,0.529,0.748,,,,,,,,,
AL,Calhoun County,11208.41,0.231,5.1,4.9,0.09,0.268,0.336,0.339,0.125,26.78960259,543.1,57.8,0.155,0.000767047,91.26550327,0.786124402,0.60918614,0.717,0.492199766,0.095,0.315,0.224,0.392854454,1005.828373,5,0,6.135991094,0.1892,,0.586419753,0.142,173.89,0.000106,11047.15,0.194,0.173,0.000370017,0.146,37916,0.288554749,0.446,11.808,0.75,0.858884454,114081,0.234,0.15,0.2,0.004,0.008,0.001,0.026,0.018137474,0.521,0.31,,,,,,,,,
AL,Chambers County,11218.17,0.411,4.4,4.8,0.111,0.214,0.352,0.358,0.127,27.08241543,563.6,70.3,0.187,0.00049314,72.71838863,0.841207349,0.670378619,0.608,0.460734828,0.137,0.435,0.326,0.46131026,539.7879649,4,2,5.827505828,0.0081,,0.536585366,0.162,276.23,0.000029,9623.32,0.235,0.199,0.000200878,0.202,30061,0.313719757,0.601,,1,0.824443606,34320,0.225,0.168,0.378,0.002,0.002,0,0.015,0.007539854,0.526,0.498,,,,,,,,,
AL,Cherokee County,11612.66,0.29,5.6,4.6,0.09,0.252,0.306,0.359,0.127,27.36392271,183.3,61.9,0.178,0.000245771,113.5674338,0.893081761,0.66894198,0.666,0.438570488,0.091,0.331,0.23,0.256090652,155.7329181,4,0,4.090314136,0.0008,,0.615384615,0.132,91.315,0,9922.3,0.217,0.148,7.82687E-05,0.164,34410,0.243657505,0.434,,0.5,0.778776627,24448,0.209,0.186,0.056,0.003,0.004,0,0.013,0.003817264,0.514,1,,,,,,,,,
AL,Chilton County,12217.78,0.216,5.1,5.2,0.098,0.226,0.353,0.309,0.098,42.91108823,242.7,61,0.191,0.000304478,95.29621825,0.840855107,0.61302682,0.731,0.421142516,0.094,0.32,0.226,0.303619118,1016.632166,2,2,6.981452608,0.3063,,0.575,0.119,76.587,0.000023,11819.1,0.24,0.151,0.000139922,0.155,38553,0.284489525,0.422,,0.857,0.808795094,42971,0.245,0.134,0.114,0.003,0.003,0,0.054,0.033622236,0.503,0.88,,,,,,,,,
AL,Choctaw County,9538.26,0.312,7.1,4.1,0.11,0.17,0.383,0.35,0.082,43.42329998,419.8,53,0.182,0.000355038,67.61202583,0.849056604,0.656050955,0.68,0.365444375,0.114,0.299,0.268,0.366262815,103.5648098,2,0,0,0.1136,,0.363636364,0.169,228.76,0,9261.61,0.223,0.233,0.000351716,0.225,32003,0.18636707,0.663,,0.3,0.791966566,13990,0.233,0.175,0.436,0.002,0.001,0,0.009,0.001427605,0.531,1,,,,,,,,,
AL,Clarke County,8490.31,,3.5,2.4,0.118,0.227,0.354,0.38,0.142,32.66889026,718.5,46.3,0.168,0.000533049,114.4374579,0.763671875,0.58041958,0.743,0.437754272,0.158,0.335,0.277,0.400593472,398.2409452,3,0,7.679901697,0.056,,0.638888889,0.147,102.07,0.000038,9434.16,0.211,0.181,0.000302618,0.208,33739,0.274825022,0.558,,0.455,0.900510522,26042,0.254,0.159,0.436,0.003,0.003,0,0.01,0.000890436,0.523,0.746,,,,,,,,,
AL,Clay County,10287.25,0.212,4.4,4.7,0.093,0.205,0.343,0.375,0.072,20.44425363,412.8,56.6,0.18,0.000362135,141.9484692,0.741721854,0.560185185,0.728,0.416528009,0.139,0.298,0.266,0.274700356,297.4358974,1,3,0,0.0138,,0.363636364,0.148,102.39,0.000072,11445.04,0.22,0.212,0.000141995,0.182,33035,0.218936934,0.471,,0.5,0.792678507,13640,0.213,0.183,0.158,0.003,0.001,0,0.029,0.021934122,0.506,1,,,,,,,,,
AL,Cleburne County,8287.95,0.212,5.4,4.8,0.083,0.208,0.299,0.335,0.096,29.30546058,121.6,65.1,0.178,0.000067861,80.4225004,0.828358209,0.55625,0.864,0.383012821,0.084,0.268,0.245,0.324788814,284.6923133,7,0,0,0.0023,,0.636363636,0.124,105.14,0,10576.66,0.221,0.2,6.75721E-05,0.167,37566,0.255327034,0.453,,0.5,0.791636495,14759,0.23,0.152,0.045,0.003,0.001,0,0.024,0.011440495,0.496,1,,,,,,,,,
AL,Coffee County,9293.38,0.21,3.6,4.2,0.091,0.194,0.321,0.286,0.113,25.0247119,538.2,51,0.156,0.000439579,110.029081,0.822274882,0.692460318,0.787,0.578085352,0.073,0.3,0.227,0.371935316,313.8611325,6,0,10.28066208,0.025,,0.53030303,0.133,141.36,0.000021,9836,0.193,0.138,0.00033714,0.134,40779,0.247516906,0.361,,0.6,0.845549483,48635,0.24,0.143,0.179,0.009,0.012,0.001,0.048,0.02680353,0.514,0.559,,,,,,,,,
AL,Colbert County,10432.39,0.236,4.7,4.4,0.113,0.279,0.331,0.347,0.084,24.28946777,437.2,52.7,0.161,0.000713946,78.41269478,0.880597015,0.678571429,0.686,0.540887067,0.097,0.322,0.207,0.334636175,537.8366428,1,4,7.320778199,0.2293,,0.50617284,0.134,99.675,0.000092,10056.12,0.198,0.163,0.000312007,0.146,37455,0.266185428,0.398,6.791,0.8,0.855057675,54639,0.22,0.168,0.166,0.004,0.003,0,0.017,0.011462935,0.52,0.469,,,,,,,,,
AL,Conecuh County,11541.69,0.174,4.7,3.8,0.116,0.196,0.33,0.361,0.059,53.41081462,574,54.9,0.167,0.000383494,186.4500183,0.728506787,0.661654135,0.7,0.339977435,0.163,0.41,,0.420674578,278.1235928,4,0,0,0.1352,,0.555555556,0.167,256.29,0.000077,11659.01,0.208,0.212,0.000223198,0.228,27855,0.241719811,0.832,,0.2,0.86370876,12931,0.231,0.178,0.436,0.003,0.001,0.001,0.013,0.002228767,0.528,1,,,,,,,,,
AL,Coosa County,11911.91,0.249,3.4,3.4,0.111,,0.338,0.348,0.086,38.15677346,360.6,55.3,0.159,9.32488E-05,72.11648246,0.821428571,0.586206897,0.605,0.326005961,0.131,0.295,,0.316091954,239.1262199,6,1,0,0.0822,,,0.151,140.78,0,12953.88,0.192,,0,0.21,33721,0.26726595,0.601,,0,0.788419252,10556,0.199,0.174,0.304,0.004,0.001,0,0.016,0.003762158,0.502,0.974,,,,,,,,,
AL,Covington County,10720.12,0.21,3.5,4,0.093,0.288,0.364,0.373,0.124,35.92522917,450.4,69.8,0.187,0.000654915,157.5690526,0.807361963,0.667364017,0.718,0.405277402,0.091,0.302,0.151,0.376574008,351.6182058,4,0,5.452860025,0.0183,,0.510204082,0.129,113.67,0,10563.06,0.234,0.183,0.000292312,0.155,33484,0.276137216,0.447,,0.667,0.795365051,36678,0.226,0.188,0.131,0.006,0.004,0,0.012,0.012749681,0.521,0.72,,,,,,,,,
AL,Crenshaw County,11078.7,0.229,4.5,3.6,0.099,0.182,0.372,0.335,,37.5563345,523.5,59.3,0.183,0.000146135,112.1022615,0.790780142,0.557692308,0.8,0.392991602,0.087,0.303,0.177,0.37910268,239.3631327,6,0,0,0.1686,,0.25,0.139,166.96,0.000073,10681.56,0.23,0.12,0.000143308,0.188,35577,0.226555575,0.455,,0.286,0.80418023,13781,0.242,0.162,0.252,0.005,0.002,0,0.013,0.031706013,0.523,1,,,,,,,,,
AL,Cullman County,9846.35,0.209,4.4,4.7,0.093,0.248,0.32,0.294,0.07,36.7790191,234.9,56.9,0.186,0.000539758,75.30629827,0.84319754,0.709001233,0.743,0.485884614,0.088,0.268,0.167,0.254964044,191.4277098,1,0,4.891291056,0.0028,,0.531914894,0.132,50.147,0.000049,10237.5,0.233,0.155,0.000276465,0.134,37948,0.26139526,0.369,,0.636,0.802344907,81778,0.233,0.156,0.017,0.005,0.002,0,0.044,0.022081178,0.504,0.757,,,,,,,,,
AL,Dale County,9125.72,0.237,4.7,4,0.087,0.262,0.356,0.313,0.168,21.98201578,449.3,56.1,0.165,0.000268595,81.26120182,0.800965018,0.63559322,0.69,0.611946969,0.085,0.256,0.171,0.309396733,435.3980012,6,0,4.15394521,0.0127,,0.515625,0.132,251.91,0.000062,10004.23,0.209,0.138,0.00026269,0.129,41287,0.215195702,0.487,,0.571,0.825166475,48147,0.249,0.13,0.206,0.006,0.013,0.002,0.044,0.021922868,0.513,0.555,,,,,,,,,
AL,Dallas County,14640.76,0.272,4,3.6,0.126,0.203,0.414,0.34,0.115,30.99063502,1518.7,81.5,0.165,0.00100875,80.8315931,0.710227273,0.619047619,0.662,0.469007454,0.173,0.565,0.334,0.570919881,966.5761597,2,0,2.385211688,0.0665,,0.555555556,0.16,356.65,0.000117,8908.89,0.214,0.256,0.000226275,0.239,26195,0.364155999,0.76,17.109,0.375,0.841742816,41925,0.27,0.148,0.678,0.002,0.004,0,0.009,0.005093794,0.543,0.466,,,,,,,,,
AL,DeKalb County,9621.2,0.214,4.6,5.2,0.089,0.197,0.339,0.275,0.107,29.52264642,119.7,74.4,0.203,0.000348361,93.89165769,0.85046729,0.591194969,0.684,0.40213696,0.116,0.316,0.262,0.30431433,206.3413642,1,0,5.765350245,0,,0.539473684,0.113,67.759,0,9917.19,0.26,0.202,0.000259179,0.181,34822,0.244322782,0.509,,0.571,0.814221008,69380,0.255,0.143,0.02,0.008,0.004,0.001,0.117,0.064513145,0.507,0.883,,,,,,,,,
AL,Elmore County,8753.07,0.179,4.4,3.8,0.091,0.201,0.315,0.317,0.092,24.00021678,345.7,51.3,0.146,0.0003072,87.64026901,0.793253537,0.673010381,0.671,0.521491268,0.084,0.184,0.149,0.29410192,183.6858854,3,0,5.04840155,0.237,,0.46031746,0.123,196.47,0.000038,10583,0.182,0.131,0.000220424,0.133,51013,0.249117499,0.354,6,0.444,0.843544554,79233,0.243,0.121,0.218,0.004,0.005,0,0.02,0.014841562,0.496,0.619,,,,,,,,,
AL,Escambia County,10701.91,0.265,4.6,3.6,0.108,0.228,0.355,0.376,0.063,40.2432649,578.8,69,0.195,0.000506235,122.715044,0.777129522,0.636174636,0.723,0.412637579,0.111,0.356,0.205,0.479712263,542.7132119,1,0,5.34273655,0.0262,,0.523809524,0.132,149.93,0.00008,10793.87,0.242,0.15,0.000343561,0.186,31365,0.275717183,0.562,,0.667,0.816550882,37434,0.23,0.152,0.321,0.031,0.003,0,0.015,0.005392047,0.491,0.614,,,,,,,,,
AL,Etowah County,12083.7,0.21,4.7,4.6,0.09,0.269,0.321,0.342,0.115,24.49959237,483,59.8,0.171,0.000725093,96.24330328,0.834173387,0.616413916,0.698,0.558351016,0.094,0.288,0.247,0.335245487,355.5472822,4,1,8.683486902,0.2057,,0.602941177,0.133,143.9,0.000097,11897.37,0.212,0.192,0.000442763,0.141,36088,0.27772701,0.437,8.167,0.8,0.849053785,103645,0.233,0.162,0.148,0.004,0.005,0,0.033,0.016870993,0.52,0.398,,,,,,,,,
AL,Fayette County,11907.05,0.292,6.4,5.3,0.093,0.18,0.365,0.327,0.036,38.78361907,265.7,52.5,0.168,0.001080958,98.82072201,0.787096774,0.658986175,0.666,0.423737637,0.118,0.36,0.282,0.294728839,125.8594132,1,0,0,0.0074,,0.705882353,0.141,74.019,0.000057,9191.39,0.208,0.163,0.000171204,0.166,32643,0.234226689,0.392,,0.667,0.85551045,17371,0.221,0.173,0.124,0.002,0.004,0,0.012,0.002243512,0.514,0.787,,,,,,,,,
AL,Franklin County,12312.31,0.234,7.6,4.6,0.086,,0.312,0.372,0.066,36.22851835,276,75.4,0.199,0.000450871,125.4836764,0.849293564,0.555837564,0.7,0.43574273,0.101,0.342,0.243,0.322694572,193.3612633,1,0,9.649094593,0.0092,,0.564102564,0.146,51.333,0.000032,10970.73,0.252,0.17,0.000258031,0.195,33649,0.228673082,0.507,,0.571,0.795130143,31091,0.252,0.15,0.044,0.004,0.003,0.002,0.154,0.07685461,0.497,0.719,,,,,,,,,
AL,Geneva County,9787.22,0.232,3.8,3,0.085,,0.355,0.353,0.091,34.5159692,289.8,58.6,0.198,0.000269531,108.4223537,0.819095477,0.670623145,0.729,0.449247207,0.09,0.316,0.244,0.392561285,306.9808237,6,0,0,0.3291,,0.555555556,0.138,122.95,0.000039,10404.68,0.243,0.21,7.59821E-05,0.161,34418,0.237033582,0.465,,0.714,0.846824876,25961,0.216,0.175,0.105,0.008,0.001,0,0.027,0.010316286,0.512,0.872,,,,,,,,,
AL,Greene County,12690.4,0.22,4.4,5.3,0.151,,0.476,0.38,,34.28281835,1068.5,68.9,0.169,0.000442527,111.6505681,0.780748663,0.546666667,0.585,0.41974026,0.169,0.409,,0.535379369,,0,0,0,0.5141,,0.25,0.188,217.07,0.000111,11180.9,0.217,,0,0.312,27117,0.315445769,0.862,,0.25,0.726825843,8829,0.254,0.154,0.791,0.001,0.002,0,0.009,0.009319986,0.534,1,,,,,,,,,
AL,Hale County,12314.34,0.248,4.3,3.7,0.118,,0.435,0.356,0.08,38.75080072,1129.8,50.5,0.184,0.000165902,112.5829063,0.736677116,0.553571429,0.735,0.373114581,0.121,0.357,,0.467846044,557.1565802,1,0,0,0.4081,,0.5,0.15,180.38,0.000055,9082.91,0.234,,0.000304544,0.257,31790,0.269553312,0.648,17.398,0.6,0.795807056,17975,0.249,0.135,0.577,0.002,0.002,0,0.013,0.004272381,0.496,0.85,,,,,,,,,
AL,Henry County,10743.85,0.195,3.9,3.7,0.09,0.2,0.337,0.309,0.038,34.49584325,705.2,53.1,0.175,0.000180473,54.73136804,0.819620253,0.687150838,0.596,0.474470735,0.094,0.288,0.163,0.344383057,346.6344216,6,0,6.007088364,0.3161,,0.52631579,0.148,165.78,0,8214.9,0.217,0.162,0.000233809,0.181,37851,0.239182692,0.549,,0.4,0.88619403,16647,0.232,0.169,0.3,0.002,0.001,0,0.026,0.012157492,0.519,1,,,,,,,,,
AL,Houston County,9006.82,0.195,4.2,4.3,0.083,0.195,0.33,0.331,0.107,19.39717226,651.9,58.6,0.166,0.0009408,67.83287058,0.835686053,0.66634981,0.69,0.526524484,0.084,0.28,0.198,0.402519348,533.4800786,4,2,5.994904331,0.1741,,0.525316456,0.124,312.44,0.000233,9578.1,0.211,0.166,0.000521862,0.119,39290,0.262731695,0.488,5.91,0.4,0.870009264,100085,0.245,0.158,0.259,0.004,0.009,0,0.022,0.014971712,0.524,0.349,,,,,,,,,
AL,Jackson County,11430.77,0.266,5.6,5.4,0.091,0.266,0.305,0.301,0.073,36.7788154,199.5,54.9,0.166,0.000642309,131.0857071,0.814551908,0.538922156,0.72,0.441209744,0.097,0.286,0.22,0.290352195,268.0055157,0,0,3.785154624,0.0223,,0.508474576,0.136,51.613,0.000057,11176.12,0.205,0.194,0.000300002,0.149,36158,0.244367827,0.437,,0.474,0.861036681,52838,0.226,0.161,0.038,0.018,0.003,0,0.02,0.009261468,0.512,0.767,,,,,,,,,
AL,Jefferson County,11049.12,0.165,3.5,3.6,0.116,0.221,0.32,0.292,0.145,19.13232104,801.2,49.9,0.143,0.0015481,54.32346374,0.82699478,0.709038737,0.689,0.642029334,0.094,0.277,0.226,0.424887115,796.5180093,32,26,11.12736776,0.1455,,0.610993658,0.124,530.75,0.000511,9320.28,0.177,0.147,0.00065022,0.129,41740,0.345049359,0.416,18.2,0.755,0.835480139,665027,0.238,0.136,0.409,0.004,0.014,0.001,0.036,0.027581497,0.526,0.108,,,,,,,,,
AL,Lamar County,10479.48,0.276,6.3,5.5,0.092,,0.322,0.356,,31.76987061,293.8,59.2,0.176,0.00013946,108.6149926,0.768488746,0.647668394,0.617,0.397773872,0.128,0.314,0.215,0.375304878,72.36128014,0,0,0,0.0195,,0.411764706,0.129,57.832,0,10180.85,0.218,0.124,0.000201329,0.178,32993,0.220726783,0.419,,0.5,0.854151754,14200,0.214,0.182,0.117,0.002,0.001,0,0.023,0.002814462,0.515,1,,,,,,,,,
AL,Lauderdale County,8762.98,0.207,4.6,4,0.104,0.196,0.324,0.327,0.073,24.72067266,386,40.8,0.162,0.00059417,74.73861146,0.878547106,0.682075472,0.803,0.572282926,0.088,0.257,0.193,0.293334004,246.7229256,0,0,7.812587194,0.1894,,0.5,0.137,55.329,0.00009,9021.44,0.199,0.148,0.000504901,0.13,39213,0.286267335,0.347,4.229,0.75,0.862458909,89599,0.21,0.171,0.103,0.003,0.004,0,0.018,0.011666513,0.523,0.517,,,,,,,,,
AL,Lawrence County,10501.65,0.24,4.1,4.3,0.096,0.246,0.381,0.36,0.077,35.27278311,330.7,54.6,0.181,0.000323083,125.9022472,0.818481848,0.613537118,0.745,0.443784329,0.11,0.241,0.25,0.256862502,223.4693362,1,2,2.932035419,0.3125,,0.625,0.136,59.331,0.000029,11200.46,0.221,0.129,5.83209E-05,0.208,37365,0.260662094,0.394,,0.6,0.864430665,34106,0.229,0.135,0.118,0.052,0.002,0,0.019,0.004856182,0.509,0.925,,,,,,,,,
AL,Lee County,7421.97,0.184,3.6,4.3,0.079,0.22,0.3,0.274,0.191,16.99276315,418,28.6,0.155,0.000578491,61.92251588,0.831782391,0.646327684,0.759,0.644653101,0.082,0.206,0.171,0.343834354,442.2025242,3,2,5.887417852,0.2683,,0.534653465,0.102,147.73,0.000391,8716.33,0.186,0.139,0.000363818,0.128,40102,0.352025326,0.357,7.578,0.667,0.801044112,135883,0.218,0.088,0.236,0.003,0.02,0,0.022,0.030272906,0.507,0.329,,,,,,,,,
AL,Limestone County,8227.43,0.166,3.9,3.1,0.096,0.214,0.314,0.313,0.089,29.89434656,287.6,54.8,0.157,0.000393113,77.46628628,0.863712375,0.686588921,0.785,0.526652452,0.083,0.195,0.254,0.260023273,104.6698477,0,1,5.090872066,0.2346,,0.5625,0.104,143.58,0.000026,10600.07,0.195,0.097,0.000236646,0.137,49667,0.224656987,0.322,5.818,0.625,0.860381107,78572,0.238,0.119,0.135,0.005,0.008,0,0.046,0.028461036,0.493,0.671,,,,,,,,,
AL,Lowndes County,13154.92,0.326,5.2,5,0.125,0.225,0.446,0.381,0.165,54.79031746,893.7,66.4,0.169,7.94155E-05,56.24248694,0.841726619,0.614035088,0.582,0.356365002,0.154,0.458,0.35,0.565741051,400.9476946,4,0,8.134710811,0.5607,,1,0.185,387.78,0,8024.15,0.217,,0,0.284,28754,0.360998811,0.883,27.395,0.4,0.786188253,12293,0.254,0.141,0.701,0.001,0.001,0,0.01,0.003647971,0.535,1,,,,,,,,,
AL,Macon County,15748.93,0.264,3.6,2.5,0.114,0.13,0.414,0.314,,32.40965808,1022.9,32.1,0.174,0.000315386,52.76994265,0.790035587,0.564885496,0.55,0.512758469,0.132,0.468,0.191,0.644532106,952.7679942,6,0,0,0.0449,,0.666666667,0.156,477.99,0,7931.14,0.213,0.139,0.000136724,0.254,27041,0.355628059,0.981,21.191,0.4,0.755464656,21789,0.201,0.156,0.818,0.002,0.011,0,0.011,0.00286951,0.541,0.502,,,,,,,,,
AL,Madison County,8086.41,0.136,3.4,3.3,0.102,0.202,0.314,0.252,0.115,18.25635633,491.4,36.6,0.128,0.000972223,56.70128256,0.851594342,0.722909091,0.747,0.688718272,0.073,0.18,0.206,0.322427789,515.0758443,0,5,15.25580941,0.1536,,0.574712644,0.118,200.64,0.000262,9614.59,0.157,0.135,0.000528717,0.101,54633,0.244643027,0.272,5.467,0.682,0.850036482,327744,0.239,0.126,0.243,0.007,0.023,0.001,0.032,0.027486678,0.511,0.227,,,,,,,,,
AL,Marengo County,9560.36,0.244,5,3.2,0.118,0.137,0.402,0.354,0.154,29.42099482,1078.1,51.6,0.176,0.000521327,104.0864577,0.713043478,0.508547009,0.772,0.47747184,0.124,0.325,0.234,0.41640437,566.6971004,2,0,9.54973022,0.114,,0.571428571,0.169,126.62,0,10202.96,0.22,0.157,0.000232829,0.225,33085,0.300682835,0.602,,0.25,0.830071665,20943,0.255,0.154,0.511,0.001,0.002,0,0.024,0.003355369,0.527,0.708,,,,,,,,,
AL,Marion County,11878.98,0.212,4.6,4.4,0.088,,0.327,0.356,0.039,36.15913827,179.9,67.9,0.181,0.000204235,141.1277331,0.855146125,0.579345088,0.829,0.501584368,0.135,0.311,0.208,0.286968367,186.0776439,1,0,3.434537711,0.0053,,0.565217391,0.123,100.9,0,10574.26,0.225,0.179,0.000259328,0.157,32080,0.230932203,0.42,,0.833,0.838023,29116,0.217,0.186,0.042,0.004,0.002,0,0.019,0.01461162,0.503,0.995,,,,,,,,,
AL,Marshall County,11002.39,0.21,4.8,4.6,0.083,0.294,0.291,0.323,0.133,28.12101688,179.7,91,0.186,0.000672646,89.17638084,0.816666667,0.606237817,0.714,0.435570071,0.085,0.309,0.189,0.346726387,277.0814645,4,0,2.212413854,0,,0.5,0.12,105.73,0.000045,10917.05,0.241,0.18,0.000312483,0.15,38859,0.2573113,0.439,,0.75,0.797587876,90399,0.265,0.146,0.021,0.006,0.006,0.002,0.122,0.071398852,0.51,0.571,,,,,,,,,
AL,Mobile County,11140.2,0.218,4.4,4.5,0.119,0.241,0.317,0.306,0.142,25.77452263,858,61.1,0.172,0.000967903,74.29939239,0.79559828,0.652155356,0.652,0.543288339,0.102,0.289,0.244,0.415334408,552.5942711,2,16,7.772253541,0.1729,,0.544086022,0.123,486.94,0.000225,10024.84,0.218,0.187,0.000438732,0.159,39753,0.324477176,0.573,14.307,0.788,0.83330004,411721,0.259,0.125,0.345,0.007,0.02,0.001,0.02,0.021842071,0.522,0.197,,,,,,,,,
AL,Monroe County,9788.4,0.21,5,4,0.137,0.174,0.355,0.318,0.123,36.57845163,727.2,59.7,0.17,0.00044154,119.3929019,0.735135135,0.688073395,0.637,0.394144556,0.171,0.499,0.238,0.466136778,539.403913,5,0,0,0.14,,0.555555556,0.138,172.01,0,9747.63,0.218,0.253,0.000213338,0.201,31744,0.266782722,0.55,,0.571,0.847582341,22389,0.254,0.153,0.408,0.011,0.003,0,0.01,0.008257676,0.522,0.784,,,,,,,,,
