state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,food_environment_index_raw_value,physical_inactivity_raw_value,access_to_exercise_opportunities_raw_value,excessive_drinking_raw_value,alcohol-impaired_driving_deaths_raw_value,sexually_transmitted_infections_raw_value,teen_births_raw_value,uninsured_raw_value,primary_care_physicians_raw_value,dentists_raw_value,mental_health_providers_raw_value,preventable_hospital_stays_raw_value,diabetes_monitoring_raw_value,mammography_screening_raw_value,high_school_graduation_raw_value,some_college_raw_value,unemployment_raw_value,children_in_poverty_raw_value,income_inequality_raw_value,children_in_single-parent_households_raw_value,social_associations_raw_value,violent_crime_raw_value,injury_deaths_raw_value,air_pollution_-_particulate_matter_raw_value,drinking_water_violations_raw_value,severe_housing_problems_raw_value,driving_alone_to_work_raw_value,long_commute_-_driving_alone_raw_value,premature_age-adjusted_mortality_raw_value,child_mortality_raw_value,infant_mortality_raw_value,diabetes_prevalence_raw_value,hiv_prevalence_raw_value,food_insecurity_raw_value,limited_access_to_healthy_foods_raw_value,drug_poisoning_deaths_raw_value,motor_vehicle_crash_deaths_raw_value,uninsured_adults_raw_value,uninsured_children_raw_value,health_care_costs_raw_value,other_primary_care_providers_raw_value,could_not_see_doctor_due_to_cost_raw_value,median_household_income_raw_value,children_eligible_for_free_lunch_raw_value,homicides_raw_value,population_raw_value,%_below_18_years_of_age_raw_value,%_65_and_older_raw_value,%_non-hispanic_african_american_raw_value,%_american_indian_and_alaskan_native_raw_value,%_asian_raw_value,%_native_hawaiian/other_pacific_islander_raw_value,%_hispanic_raw_value,%_non-hispanic_white_raw_value,%_not_proficient_in_english_raw_value,%_females_raw_value,%_rural_raw_value,communicable_disease_raw_value,coronary_heart_disease_hospitalizations_raw_value,cerebrovascular_disease_hospitalizations_raw_value,self-inflicted_injury_hospitalizations_raw_value,cancer_incidence_raw_value,smoking_during_pregnancy_raw_value,drug_arrests_raw_value,alcohol-related_hospitalizations_raw_value,motor_vehicle_crash_occupancy_rate_raw_value,on-road_motor_vehicle_crash-related_er_visits_raw_value,off-road_motor_vehicle_crash-related_er_visits_raw_value,no_recent_dental_visit_raw_value,did_not_get_needed_health_care_raw_value,childhood_immunizations_raw_value,local_health_department_staffing_raw_value,reading_proficiency_raw_value,w-2_enrollment_raw_value,poverty_raw_value,older_adults_living_alone_raw_value,hate_crimes_raw_value,child_abuse_raw_value,injury_hospitalizations_raw_value,fall_fatalities_65+_raw_value,year_structure_built_raw_value,male_population_0-17_raw_value,male_population_18-44_raw_value,male_population_45-64_raw_value,male_population_65+_raw_value,total_male_population_raw_value,female_population_0-17_raw_value,female_population_18-44_raw_value,female_population_45-64_raw_value,female_population_65+_raw_value,total_female_population_raw_value,population_growth_raw_value
US,United States,6621.61,0.163,3.7,3.4,0.08153925,0.203,,,,0.846570754,0.152,0.31341336,453.3,36.56578888,,,,,59.29,0.845712006,0.629826778,,,,0.222,,,,392.0409397,59.35084566,,,,,,333.9,52.76540931,6.6,,,0.159,0.056530469,12.35867609,12.14932554,,,9686.92,,0.142,52250,0.35118146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Alabama,9507.9,0.205,4.3,4.3,0.102963848,0.219,0.332267799,6.7,0.293712083,0.641049631,0.122,0.278639204,635,46.65229462,0.157667473,0.000627537,0.000443344,0.000694082,71.52,0.842344458,0.627107088,0.76947372,0.579557661,0.064637931,0.274,5.207701762,0.382586363,12.50512492,417.9688725,75.1989802,12.8,0.047530243,0.151932812,0.84953408,0.323,459.7,73.30352795,9.1,0.129,289.9,0.185695921,0.07675223,11.47292739,20.89055231,0.202251742,0.043375949,10126.93,0.000461756,0.163,42882,0.500266579,9.1,4833722,0.229943096,0.149194761,0.262767491,0.006947234,0.012797385,0.001062535,0.040966154,0.664207623,0.014023585,0.51479481,0.409631829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Autauga County,8405.21,0.228,5.1,3.6,0.090850791,0.217,0.313,7.2,0.279,0.736838247,0.167,0.333333333,508,36.49986252,0.128367074,0.000324243,0.000289614,0.000126706,79.74,0.846153846,0.68797954,0.81,0.560371517,0.056874828,0.196,4.171513796,0.296293701,13.14983608,253.6446171,73.32345911,12.92,0,0.1225,0.885188867,0.42,431.9,41.16214455,8,0.121,181.1,0.135,0.097935304,8.233797348,21.24850928,0.168538991,0.037103412,9939.29,0.000162908,0.156,51868,0.383409669,4.6,55246,0.253936937,0.135141006,0.182728161,0.005013938,0.011367339,0.000941245,0.026988379,0.759041379,0.004764868,0.51496941,0.420021623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Baldwin County,7456.89,0.127,3.3,3.8,0.086701816,0.206,0.25,7.6,0.252,0.736180836,0.179,0.302816901,357.5,44.53266153,0.157902919,0.000754757,0.000465378,0.000726194,51.36,0.810602995,0.661016949,0.74,0.624892268,0.058395467,0.208,4.417148275,0.292427276,11.63582997,220.6651063,74.53511183,13.13,0.011535344,0.14090877,0.836949106,0.349,360.8,56.16018066,6.4,0.115,188.1,0.135,0.054602606,15.29234666,16.56670888,0.199049338,0.053567823,9501.9,0.000291501,0.144,47539,0.344076655,4.3,195540,0.224220108,0.181349085,0.093796666,0.00737445,0.008842181,0.000659712,0.045765572,0.83121612,0.015600296,0.511675361,0.422790991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Barbour County,8900.51,0.234,4.8,4.3,0.118778754,0.251,0.384,5,0.323,0.44145391,0.135,0.434782609,716.9,72.87379973,0.175284306,0.00044116,0.000369331,3.69331E-05,86.93,0.857142857,0.617940199,0.696961078,0.423283262,0.100415033,0.424,5.473985642,0.558246631,8.455571486,146.8885763,56.1052739,12.62,0.526365894,0.18561001,0.822001528,0.331,443.7,84.08660921,13.5,0.148,388.1,0.227,0.114203157,,18.66639013,0.228395499,0.045462115,10413.95,0.000110799,0.169,30981,0.696779262,,27076,0.21110947,0.158590634,0.471450731,0.005872359,0.005244497,0.001846654,0.048345398,0.463325454,0.022308589,0.465135175,0.677896347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Bibb County,10729.22,0.179,4.7,5.1,0.127874369,0.259,0.373,7.6,0.332,0.3943705,0.112,0.310344828,371.7,50.85085085,0.151046458,0.000265522,0.000177683,,70.85,0.828746177,0.617283951,0.8,0.5,0.068497758,0.356,4.513785692,0.371764237,10.62087888,235.9521105,80.75559145,12.87,0,0.09550173,0.832122371,0.475,539.7,107.9595642,13.9,0.127,106.7,0.154,0.02144661,18.93210317,25.87387433,0.192836812,0.042057006,10825.24,8.88415E-05,0.163,39781,0.546482057,7.8,22512,0.212908671,0.142857143,0.220149254,0.003953447,0.001554726,0.001332623,0.020700071,0.745646766,0.004286247,0.459932481,0.683526075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Blount County,8668.52,0.242,5.9,3.9,0.07690755,0.213,0.309,8.5,0.298,0.255085308,0.055,0.180327869,160.8,47.23921629,0.182957601,0.000293985,0.000190075,5.18385E-05,84.79,0.86122449,0.598958333,0.851219512,0.491942735,0.056070842,0.266,3.983750614,0.276298841,8.646629544,219.0343442,91.91528475,12.66,0,0.118348843,0.833303809,0.584,430.5,49.82206406,6.3,0.132,92.8,0.118,0.010624677,18.2982158,25.56737002,0.23345169,0.058770656,10280.81,6.91181E-05,0.173,44392,0.442297967,4.3,57872,0.238422726,0.164086259,0.016380979,0.00604783,0.002782002,0.001123168,0.087106027,0.878334946,0.023225663,0.505529444,0.89951502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Bullock County,10743.52,0.23,4.2,,0.136325148,0.378,0.432,3.8,0.328,0.234377863,,0.416666667,964.3,84.59696728,0.175519008,0.000381898,0.000187988,9.39938E-05,68.39,0.771144279,0.516853933,0.725,0.357209592,0.119908204,0.442,5.263340892,0.624079688,11.456941,283.3508523,85.39075552,12.75,0.154976405,0.134308511,0.825317717,0.468,498.5,127.078259,,0.176,409.1,0.241,0.201517301,,54.19194523,0.232061069,0.041143352,9975.59,0.000563963,0.167,25937,0.859987155,,10639,0.210264123,0.146160353,0.68878654,0.007895479,0.00272582,0.007707491,0.077920857,0.222107341,0.036952419,0.451734186,0.513743815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Butler County,10357.46,0.199,3.9,3.5,0.108037578,0.305,0.384,6,0.373,0.500692223,0.109,0.217391304,738.7,63.34142573,0.166017614,0.000344709,0.000246731,0.000148039,116.92,0.860619469,0.602678571,0.66,0.443638624,0.093146664,0.398,5.100480417,0.512090164,11.81858472,483.0378778,82.91554184,12.82,0.502664365,0.177997528,0.88205605,0.329,528.1,50.74854098,,0.161,219.8,0.221,0.028320291,8.939069924,21.31624367,0.216001325,0.03694479,11377.53,0.000345423,0.185,31041,0.693524321,8.2,20265,0.233358006,0.17749815,0.432815199,0.003552924,0.009573156,0.000493462,0.012188502,0.535356526,0.002379474,0.534320257,0.712321574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Calhoun County,10538.61,0.227,5.2,5.1,0.086887991,0.244,0.315,6.4,0.332,0.567680397,0.116,0.225352113,684.6,49.32844933,0.152928227,0.000639408,0.000522547,0.000848067,84.63,0.805543335,0.570066031,0.81824048,0.513172301,0.072664016,0.287,5.164495647,0.395983327,14.74901105,504.5156397,77.88875653,12.89,0,0.145127926,0.856322353,0.28,527.2,77.94232268,8.3,0.132,185.4,0.172,0.100438239,12.05991953,17.54170113,0.196510974,0.036874228,11404.65,0.000342654,0.184,37898,0.529906187,12,116736,0.222133703,0.155470463,0.206551535,0.005045573,0.008335047,0.000925165,0.034830729,0.731419614,0.008348995,0.516858553,0.336968256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Chambers County,11863.82,0.385,5,4.3,0.118808327,0.241,0.397,5.7,0.353,0.628233231,,0.29787234,871.9,59.72804677,0.1604257,0.000410991,0.000234178,,66.66,0.856812933,0.622881356,0.758607955,0.476587399,0.072611723,0.347,5.279745263,0.547603062,18.4945984,553.4591195,78.28703298,12.97,0,0.171460177,0.865433471,0.343,567.2,58.84083554,8.7,0.157,318.2,0.205,0.088215249,9.96028337,28.22080288,0.204797587,0.038580247,8948.13,8.78169E-05,0.225,33883,0.661219359,9.7,34162,0.214360986,0.17838534,0.387740765,0.002195422,0.006791172,0.00064399,0.019641707,0.573824718,0.003142111,0.520402787,0.491480345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Cherokee County,10513.33,0.242,6.1,5.2,0.089470481,0.244,0.303,7.9,0.298,0.328792951,0.149,0.261904762,192.2,51.55851794,0.166546918,0.000269014,0.000152654,0.000190818,87.44,0.917137477,0.610169492,0.74,0.534794711,0.057207442,0.316,5.095010115,0.314726615,9.223319627,374.3691305,82.58913065,12.93,0,0.115551694,0.828296146,0.429,499.1,63.62768713,,0.137,119.8,0.148,0.001326864,16.61350346,24.36647174,0.209151168,0.044638094,10850.5,0.000114491,0.171,37478,0.533887937,,26203,0.207037362,0.200893028,0.044880357,0.005304736,0.002442468,0.000267145,0.015341755,0.918253635,0.001338634,0.503644621,0.85736273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Chilton County,10911.4,0.205,4.6,4.9,0.09819441,0.201,0.37,7.9,0.318,0.325802534,0.093,0.291666667,353.7,58.31467535,0.191726996,0.000182569,0.000204774,0.000295784,62.6,0.888127854,0.666666667,0.76,0.389031047,0.058375635,0.337,4.538344227,0.31489958,15.06195942,407.3969917,83.91415994,12.93,0,0.168970814,0.814555594,0.472,530.5,80.33787816,9.9,0.132,98.7,0.142,0.016886043,18.79457529,30.33510398,0.245477841,0.059894199,10167.64,,0.147,41348,0.532626954,6.2,43951,0.241632727,0.149097859,0.099315146,0.004914564,0.004277491,0.001842962,0.07704034,0.806511797,0.02125521,0.508293327,0.867447242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Choctaw County,13411.64,0.316,5.6,4.6,0.111111111,0.199,0.402,5.9,0.348,0.269283498,,0.375,550.1,42.29236899,0.161228231,0.000366757,0.000446894,,68.38,0.854117647,0.570135747,0.775,0.487945671,0.078447395,0.31,5.730766177,0.426947509,19.07137094,110.9358052,99.72395254,12.82,0.108643788,0.134559535,0.852322524,0.427,531.1,121.8224641,,0.174,258,0.185,0.116280684,,45.9943989,0.203933358,0.047711154,11908.38,0.000372412,0.252,33581,0.710614525,,13426,0.210412632,0.203336809,0.425368688,0.001936541,0.002830329,0,0.006777894,0.557798302,0.000231285,0.524877104,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Clarke County,10709.34,0.218,4.4,3,0.126204239,0.137,0.352,5.1,0.31,0.394030891,0.088,0.317073171,890.3,41.89090909,0.170336317,0.000476929,0.000277701,0.000357044,79.96,0.768500949,0.590759076,0.734332553,0.430203259,0.108059193,0.353,7.181235201,0.524528915,17.88482175,464.1185647,75.96310364,13.01,0.074304294,0.15194734,0.850487283,0.325,480.7,71.69029791,9.7,0.152,117.8,0.223,0.112325127,,29.08875363,0.220811669,0.045243061,9421.77,0.000277701,0.126,34593,0.606213266,7.5,25207,0.230412187,0.175110089,0.438449637,0.004006824,0.005315984,0.000158686,0.013250288,0.531876066,0.001453126,0.526956798,0.759803352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Clay County,8958.63,0.286,6,5.3,0.113851992,0.262,0.374,7.3,0.376,0.211096756,,0.285714286,454,52.88157061,0.188248296,0.000372162,0.000148302,0.000074151,107.77,0.823293173,0.586419753,0.775,0.467968273,0.081761006,0.289,5.056549498,0.372445616,8.931894306,313.0301799,66.28624128,12.92,0.078548986,0.146529563,0.823972324,0.401,490.8,,,0.149,143.7,0.169,0.019289483,,20.50566982,0.237548859,0.057549305,9933.85,0.000296604,0.223,33344,0.555446516,,13486,0.216372535,0.190493846,0.142221563,0.005709625,0.00229868,0,0.032626427,0.80001483,0.011484508,0.50763755,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Cleburne County,10438.28,0.2,5.9,5.2,0.087649402,0.189,0.304,8.1,0.341,0.384985306,,0.148148148,384.3,57.38880918,0.159686727,0.000202265,6.66933E-05,0.00040016,81.84,0.859477124,0.464285714,0.89,0.485746227,0.062200192,0.276,5.24052674,0.302130045,8.764832794,224.3278535,81.95509935,12.96,0.028901734,0.144021739,0.788737383,0.474,523.9,71.57683774,,0.128,123.2,0.138,0.005369356,10.6005705,19.27376455,0.20416999,0.045928431,11159.05,0.00020008,0.227,40407,0.502242153,,14994,0.22635721,0.180138722,0.035614246,0.003868214,0.00180072,0.000666933,0.022408964,0.926170468,0.006408887,0.503801521,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Coffee County,8015.02,0.184,3.5,3.6,0.085964164,0.177,0.285,7.1,0.297,0.707936254,0.098,0.325,640,44.68883652,0.160153985,0.000448763,0.000314107,0.000353371,75.07,0.874213837,0.649090909,0.85,0.601234205,0.061962803,0.279,5.280572246,0.394222811,15.8042613,363.9015013,60.0764172,12.61,0.011755274,0.120744681,0.847107238,0.243,398.4,70.13635332,9.8,0.13,140.3,0.15,0.074254117,6.115887328,21.25998928,0.204706641,0.049498747,9329.94,0.000392634,0.145,44666,0.385350661,3.5,50938,0.236797676,0.155993561,0.170560289,0.013624406,0.015430523,0.004004869,0.06604107,0.714613844,0.022571065,0.50310181,0.471950829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Colbert County,10657.09,0.259,4.4,4.8,0.099659478,0.296,0.339,7.2,0.319,0.465348718,0.074,0.140350877,683.2,52.28865979,0.143101393,0.000551005,0.000403522,0.000183419,78.75,0.887863733,0.669565217,0.78027977,0.563685637,0.06808753,0.258,4.765033273,0.346723935,17.99948573,372.9043204,70.88161302,12.71,0,0.140232975,0.888419353,0.26,493.3,79.4513674,9.1,0.149,111.1,0.156,0.050898157,4.984469443,19.93787777,0.181279404,0.03870132,10688.78,0.000788701,0.177,40032,0.465672719,5.3,54520,0.217333089,0.181382979,0.161426999,0.005979457,0.005264123,0.000421864,0.024761555,0.788151137,0.006874391,0.518947175,0.438946866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Conecuh County,13362.3,0.183,4.4,5.2,0.137037037,0.229,0.391,4.6,0.354,0.001285153,,0.172413793,808.9,54.87804878,0.182096697,0.000385178,0.000155195,0.00031039,154.16,0.717687075,0.608187135,0.825,0.400223381,0.10261661,0.434,5.715363512,0.46921797,11.55535013,612.8437508,101.5520795,12.86,0,0.205944798,0.949438202,0.426,593.6,116.9492941,,0.185,280.5,0.228,0.14783095,,36.5512793,0.233443055,0.047225892,11037.28,0.000232793,0.215,27196,0.813140446,,12887,0.219290758,0.197253046,0.454644215,0.003879879,0.001707147,0.000232793,0.016838675,0.512144021,0.005440078,0.517110266,0.809495011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Coosa County,12159.87,0.258,4,4.6,0.121037464,0.3,0.372,6.8,0.319,0.262934396,,0.47826087,474.2,49.23747277,0.167077544,,,,72.58,0.843137255,0.642857143,0.775,0.314714946,0.080969808,0.309,5.004659629,0.434526507,10.94291446,290.9169271,99.78439443,12.93,0,0.158628082,0.829153605,0.439,574,,,0.162,132.7,0.169,0.065244803,,25.31293111,0.202481752,0.052750225,9815.42,0.00018352,0.25,35175,0.677721088,,10898,0.188658469,0.181592953,0.309506331,0.006698477,0.001926959,0.001651679,0.02128831,0.652963847,0.005719644,0.502110479,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Covington County,9667.05,0.25,4.2,5.2,0.094177537,0.287,0.323,7.3,0.375,0.565788428,0.109,0.333333333,503.2,68.57976654,0.172867454,0.000474246,0.000343135,0.00047511,114.84,0.82112069,0.645714286,0.805165198,0.517133233,0.071522269,0.292,4.556130268,0.389883083,12.38308523,242.1817416,70.91035132,12.71,0,0.163839892,0.807003202,0.241,469.3,73.34604665,8.8,0.138,130.4,0.16,0.030467534,4.9234405,23.85975012,0.222765774,0.043650794,10625.98,0.00047511,0.2,35187,0.484254499,,37886,0.220609196,0.195665945,0.126088793,0.006070844,0.00483028,0.000026395,0.016127329,0.833526897,0.006181164,0.51591617,0.69651794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Crenshaw County,9103.29,0.203,4,3.8,0.090121317,0.166,0.371,5.9,0.323,0.355889544,,0.3,468.7,53.57142857,0.164302803,0.000142015,0.000143,0.0002145,87.95,0.789473684,0.606451613,0.925,0.431449188,0.063425926,0.313,5.659076354,0.425852011,11.36121565,441.5302858,81.60810927,12.75,0,0.116814159,0.803127221,0.472,442,,,0.159,176.4,0.167,0.158353736,,31.73563195,0.209857482,0.050289017,10459.28,0.000643501,0.148,34105,0.522088353,,13986,0.23030173,0.175103675,0.23966824,0.005005005,0.017088517,0.001001001,0.018232518,0.704418704,0.011698142,0.515015015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Cullman County,8966.62,0.214,3.9,4.4,0.09162043,0.22,0.344,7.8,0.308,0.381339701,0.109,0.204819277,317,56.05455755,0.180596902,0.000559423,0.000433109,0.000878593,57.04,0.893333333,0.661426844,0.829821251,0.557411274,0.054627063,0.226,4.832575571,0.30030722,12.68025858,201.19145,74.62575185,12.53,0,0.139964929,0.829940008,0.342,452.2,49.86321308,6.4,0.134,58.8,0.137,0.031533743,9.810461877,26.04231698,0.230105206,0.050972927,10210.16,0.000507357,0.172,40142,0.420295551,2.8,80811,0.225291111,0.17245177,0.012758164,0.005927411,0.00527156,0.000445484,0.043706921,0.92234968,0.012527449,0.50381755,0.732395592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Dale County,8570.52,0.212,4.9,3.9,0.085537749,0.212,0.344,6.4,0.305,0.494437922,0.144,0.4,547.1,48.43057963,0.146890392,0.000178416,0.000340791,0.000621442,63.98,0.833501514,0.664285714,0.766628353,0.618457403,0.070578365,0.282,5.052136752,0.339181287,12.29085719,395.764324,61.08662323,12.52,0,0.11385248,0.847395069,0.258,440.6,64.87187804,6.4,0.145,317.3,0.167,0.102838226,8.02225603,20.05564008,0.191799815,0.037159502,10429.63,0.000641488,0.126,41805,0.545608108,7.3,49884,0.237190282,0.149005693,0.191724802,0.007737952,0.013110416,0.001162698,0.056751664,0.707561543,0.013237219,0.504911394,0.508885395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Dallas County,12349.09,0.252,3.9,3.6,0.127748461,0.206,0.417,3.6,0.332,0.589616613,0.12,0.588235294,1525.8,71.67774086,0.145207143,0.000769877,0.000333365,0.000404801,69.59,0.766832918,0.625935162,0.72314433,0.443344222,0.126734505,0.496,6.537486051,0.689403496,13.53116835,781.8388057,80.7191341,12.93,0,0.235294118,0.818181818,0.211,598.5,71.90012419,7.1,0.164,362.5,0.289,0.115634544,5.219257756,27.40110322,0.194123238,0.034470872,9831,0.000142871,0.238,27524,0.791029431,20.6,41996,0.25571483,0.152871702,0.692542147,0.002071626,0.004619488,0.000428612,0.009238975,0.284836651,0.002120494,0.535312887,0.456389776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,DeKalb County,9412.58,0.204,4.7,4.9,0.085830447,0.18,0.321,7.8,0.294,0.424489165,0.101,0.276923077,298.3,59.10852713,0.216932796,0.000407991,0.000239393,0.000154901,87.22,0.896466721,0.560357675,0.837803681,0.399103387,0.070260732,0.303,4.385081149,0.288440142,9.425998875,243.4288287,87.9725706,12.93,0.012971537,0.143729719,0.858886375,0.288,468.7,58.82835801,7.4,0.136,76.2,0.141,0.022543408,15.83431621,20.50340945,0.282000705,0.064465999,10505.08,0.000352048,0.202,36713,0.601034951,3.3,71013,0.247940518,0.151606044,0.016856069,0.021446777,0.003999268,0.007787307,0.141847267,0.806838185,0.039545468,0.506639629,0.901306445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Elmore County,8198.17,0.167,4.4,4.4,0.089541649,0.214,0.301,7.4,0.305,0.679532931,0.103,0.385542169,548.2,42.06521165,0.13201774,0.00029766,0.000135967,9.88851E-05,70.3,0.837998304,0.66437414,0.744620874,0.55860463,0.059681093,0.202,4.04321188,0.295437467,10.04601322,178.7265317,71.13595544,12.91,0.062134002,0.12390956,0.861821996,0.448,406.2,72.4443252,7.1,0.133,224.1,0.141,0.065595762,6.742056218,20.9550396,0.168038971,0.043998137,10302.72,0.000160688,0.151,51650,0.426269383,7.8,80902,0.232182146,0.134496057,0.208758745,0.004190255,0.007230971,0.001100096,0.027514771,0.73868384,0.010026631,0.514412499,0.541883661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Escambia County,11112.08,0.281,5.2,4.7,0.109324759,0.209,0.383,6.1,0.374,0.608001253,0.077,0.389830509,552.7,68.4295987,0.196173074,0.000473759,0.000394914,0.000342258,117.39,0.819059107,0.599118943,0.770463183,0.44727857,0.080330437,0.371,5.475377865,0.491723012,15.0023688,564.8735552,103.3654098,12.92,0.016780302,0.142857143,0.859550109,0.297,542.5,83.60480872,9.7,0.134,163,0.196,0.075767133,26.30609775,28.18510474,0.255648963,0.053135202,10882.47,0.000210621,0.149,33455,0.644200627,11.4,37983,0.220809309,0.162125161,0.319958929,0.034568096,0.00281705,0.000500224,0.02132533,0.606850433,0.001619524,0.485217071,0.635115739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Etowah County,11056.55,0.227,5.2,5,0.085222017,0.26,0.338,6.8,0.322,0.437020013,0.107,0.301369863,705,53.74805337,0.167169851,0.000756763,0.000461845,0.000894825,88.46,0.84137931,0.584541063,0.765257813,0.534657666,0.06512356,0.281,4.670158982,0.384950461,15.80580887,497.8706905,73.81559522,12.79,0.026128993,0.144800778,0.862376006,0.27,538.1,71.05018442,10,0.149,148,0.158,0.086193858,12.62018324,19.34180257,0.214309756,0.04402388,12060.34,0.000529197,0.188,38587,0.520781657,7.5,103931,0.222628475,0.168496406,0.153265147,0.005532517,0.007937959,0.003050101,0.036331797,0.785376837,0.012909471,0.515457371,0.374834818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Fayette County,11626.95,0.318,5.6,5.2,0.099616858,0.141,0.363,7.6,0.306,0.288266342,,0.153846154,494.6,51.84992183,0.154383412,0.000412177,0.000295701,0.00011828,99.11,0.80952381,0.613095238,0.775,0.377963362,0.073262959,0.296,5.197224902,0.383328837,11.77648237,173.67964,113.6139676,12.47,0,0.10359116,0.841487603,0.316,562.1,79.08264136,,0.176,93.9,0.158,0.013296279,17.27726723,37.02271549,0.196614197,0.03972994,9877.93,0.00017742,0.164,35661,0.497744977,,16909,0.216807617,0.189958011,0.116742563,0.004376368,0.002897865,5.91401E-05,0.015435567,0.851085221,0.000741977,0.503637116,0.802331651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Franklin County,11760.89,0.24,5,4.4,0.087795766,0.245,0.335,7.5,0.334,0.588380015,,0.25,358.9,62.48298394,0.200636704,0.000472277,0.000221997,6.34276E-05,114.82,0.852941177,0.549222798,0.859503632,0.447332925,0.076893022,0.363,4.717451524,0.327512055,10.07524952,380.0160007,114.269841,12.27,0,0.15030303,0.816207118,0.333,575.1,79.45083582,8.6,0.128,50.4,0.149,0.036438946,17.6842678,27.20656585,0.259810127,0.057971015,11627.73,0.000285424,0.167,33332,0.576150917,,31532,0.244386655,0.159235063,0.040466827,0.014620069,0.003425092,0.001363694,0.154033997,0.787200305,0.060061183,0.501014842,0.703665153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Geneva County,9085.88,0.283,4.3,3.4,0.090538705,0.325,0.345,7.7,0.313,0.323964166,0.126,0.25,453,53.81769257,0.190348036,0.000222792,7.48307E-05,0.000149661,87.5,0.867981791,0.619631902,0.829512195,0.480100282,0.065197173,0.382,4.837683848,0.449116905,8.911663139,320.1071987,82.95902123,12.52,0,0.143709826,0.838592465,0.427,480.2,58.78647911,,0.134,143.8,0.155,0.00930312,6.974473427,26.8248978,0.242897109,0.048527985,10332.71,0.000224492,0.224,35378,0.552743673,8.1,26727,0.221685936,0.185842032,0.096681259,0.009466083,0.003928612,0.000598646,0.033561567,0.842518801,0.011134446,0.510046021,0.896416573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Greene County,11968.42,0.271,5.1,5.3,0.159859977,0.181,0.481,2.9,0.329,0.162962963,,0.37037037,1295.6,51.28205128,0.159815493,0.00033799,0.000114364,0.000114364,102.21,0.869791667,0.6,0.625,0.386425835,0.100502513,0.505,4.692258477,0.535596417,9.01306895,1113.408621,72.71445255,12.87,0.313628159,0.186289121,0.745150247,0.488,530.9,,,0.188,242.8,0.275,0.209543777,,28.06842458,0.205799285,0.0434385,9557.26,0.000228728,0.164,25864,0.878388846,20.8,8744,0.232044831,0.171774931,0.79894785,0.002401647,0.002744739,0,0.009720952,0.181610247,0.001071811,0.522529735,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
