state,County,premature_death_raw_value,poor_or_fair_health_raw_value,poor_physical_health_days_raw_value,poor_mental_health_days_raw_value,low_birthweight_raw_value,adult_smoking_raw_value,adult_obesity_raw_value,food_environment_index_raw_value,physical_inactivity_raw_value,access_to_exercise_opportunities_raw_value,excessive_drinking_raw_value,alcohol-impaired_driving_deaths_raw_value,sexually_transmitted_infections_raw_value,teen_births_raw_value,uninsured_raw_value,primary_care_physicians_raw_value,dentists_raw_value,mental_health_providers_raw_value,preventable_hospital_stays_raw_value,mammography_screening_raw_value,flu_vaccinations_raw_value,high_school_completion_raw_value,some_college_raw_value,unemployment_raw_value,children_in_poverty_raw_value,income_inequality_raw_value,children_in_single-parent_households_raw_value,social_associations_raw_value,violent_crime_raw_value,injury_deaths_raw_value,air_pollution_-_particulate_matter_raw_value,drinking_water_violations_raw_value,severe_housing_problems_raw_value,driving_alone_to_work_raw_value,long_commute_-_driving_alone_raw_value,life_expectancy_raw_value,premature_age-adjusted_mortality_raw_value,child_mortality_raw_value,infant_mortality_raw_value,frequent_physical_distress_raw_value,frequent_mental_distress_raw_value,diabetes_prevalence_raw_value,hiv_prevalence_raw_value,food_insecurity_raw_value,limited_access_to_healthy_foods_raw_value,drug_overdose_deaths_raw_value,motor_vehicle_crash_deaths_raw_value,insufficient_sleep_raw_value,uninsured_adults_raw_value,uninsured_children_raw_value,other_primary_care_providers_raw_value,high_school_graduation_raw_value,disconnected_youth_raw_value,reading_scores_raw_value,math_scores_raw_value,median_household_income_raw_value,children_eligible_for_free_or_reduced_price_lunch_raw_value,residential_segregation_-_black/white_raw_value,residential_segregation_-_non-white/white_raw_value,homicides_raw_value,suicides_raw_value,firearm_fatalities_raw_value,juvenile_arrests_raw_value,traffic_volume_raw_value,homeownership_raw_value,severe_housing_cost_burden_raw_value,broadband_access_raw_value,population_raw_value,%_below_18_years_of_age_raw_value,%_65_and_older_raw_value,%_non-hispanic_black_raw_value,%_american_indian_&_alaska_native_raw_value,%_asian_raw_value,%_native_hawaiian/other_pacific_islander_raw_value,%_hispanic_raw_value,%_non-hispanic_white_raw_value,%_not_proficient_in_english_raw_value,%_females_raw_value,%_rural_raw_value
US,United States,6906.641094,0.165095834,3.741935147,4.062791864,0.08159516,0.166224667,0.297,7.8,0.227,0.841686917,0.191745811,0.270299151,539.9,20.88185728,0.104289019,0.000758126,0.000711977,0.002612056,4236,0.42,0.48,0.880010825,0.661333504,0.036694089,0.168,4.913801133,0.255126921,9.291114225,386.4648965,72.31850346,7.2,,0.175431225,0.763308416,0.366,79.17308788,339.160101,49.09780344,5.764338123,0.11419867,0.126568564,0.105,372.8,0.115,0.059012425,21.22397851,11.3548338,0.35218567,0.124496605,0.051880641,0.001061557,0.85,0.066050222,3.053420932,3.002971869,65712,0.522488702,61.49367858,46.56722319,5.524806492,13.77677793,11.93967443,,,0.639921414,0.144373592,0.826664922,328239523,0.222517841,0.164691511,0.125358115,0.012759256,0.059422649,0.002458379,0.184536696,0.601115369,0.04326602,0.507501953,0.192690289
AL,Alabama,9819.887431,0.213758092,4.416965474,4.885636481,0.103193793,0.19989831,0.361,5.5,0.293,0.611122874,0.148913776,0.26868178,583.4,28.9552571,0.118846547,0.000652022,0.000498859,0.00108297,5466,0.4,0.43,0.861806987,0.607141497,0.030005549,0.219,5.238165305,0.318137058,12.32029241,479.9191819,84.46338667,9.2,0.104477612,0.138816553,0.856998696,0.346,75.54807547,471.6144885,69.60394395,8.25742785,0.140394172,0.158564685,0.145,330.4,0.17,0.07921425,16.21459118,20.04039719,0.396274626,0.151492964,0.032084379,0.000933679,0.901799151,0.078155816,2.885602535,2.72218766,51771,0.550708312,56.57964759,50.88472296,10.44577821,15.98811422,21.60071464,,219.9093771,0.687805993,0.120577936,0.763991299,4903185,0.221958992,0.173323462,0.264679999,0.007097224,0.015034105,0.00104218,0.04553734,0.65280588,0.011006831,0.516739222,0.409631829
AL,Autauga County,7830.053484,0.198391789,4.501498764,4.850213518,0.092017738,0.198107659,0.33,6.7,0.306,0.691301241,0.144738863,0.333333333,504.5,23.76404065,0.100473142,0.000467618,0.000340081,0.000286384,6650,0.39,0.42,0.885166056,0.604999304,0.027281064,0.159,5.090408401,0.247406286,12.22999586,272.2822201,68.41004259,10.4,0,0.136309665,0.857885123,0.383,77.16258132,409.1858641,56.66792595,7.341133288,0.132529581,0.158092307,0.127,230.2,0.156,0.11991125,8.38453891,19.82604576,0.384433321,0.13007961,0.025471218,0.000411677,0.89,,3.12696818,2.91727955,58233,0.474928524,24.79123854,24.19206212,5.407103389,18.48352495,16.56243137,,155.0955235,0.732906482,0.133758893,0.805673693,55869,0.232060714,0.159730799,0.198643255,0.004761138,0.011741753,0.001038143,0.029909252,0.737707852,0.008032514,0.515079919,0.420021623
AL,Baldwin County,7680.47727,0.164606753,3.647977757,4.768293531,0.082920093,0.185133183,0.3,7.8,0.247,0.73713549,0.187369576,0.296089386,297.2,26.00690449,0.131689826,0.000701764,0.000492757,0.000985513,3471,0.43,0.46,0.90806157,0.671086467,0.027258343,0.135,4.385134628,0.223722715,10.50352717,203.6603963,72.87864065,7.2,0,0.129966507,0.837601057,0.404,78.21340489,365.7246346,50.95199786,5.809914746,0.116116411,0.147555654,0.103,169.3,0.129,0.054244266,12.5404506,17.23893784,0.363779605,0.167534376,0.037712475,0.000645063,0.88,0.064713302,3.192380762,3.037911538,59871,0.400130164,42.49693318,31.84028013,3.009973273,19.28766125,14.35062036,28.39285714,133.6048422,0.752452737,0.111740454,0.818163845,223234,0.213023106,0.209779872,0.086075598,0.007803471,0.010661458,0.000689859,0.047188152,0.832073071,0.007084583,0.515096267,0.422790991
AL,Barbour County,11476.62942,0.298414999,5.569266683,5.590493512,0.113553114,0.255307675,0.412,5.5,0.28,0.531667699,0.124669737,0.393939394,755.8,37.11426189,0.135040337,0.000321531,0.000364579,0.000121526,5314,0.44,0.39,0.732130929,0.356137725,0.037952442,0.41,5.981992797,0.510081025,7.636349021,414.2778607,76.98894659,9.4,0,0.13710555,0.821163893,0.309,74.05474119,552.9773947,76.15783712,,0.181321046,0.189546946,0.175,471,0.219,0.107396666,,26.48217419,0.408895893,0.176732306,0.034298781,0.000567123,0.820689655,,2.389161313,2.00862944,35972,0.607699967,19.7225756,19.81447872,10.48252728,11.32591785,21.21124039,,102.4596728,0.608988764,0.142707118,0.605243446,24686,0.205865673,0.19691323,0.478287288,0.006886494,0.00469902,0.002106457,0.045248319,0.45511626,0.018907213,0.470793162,0.677896347
AL,Bibb County,12172.56238,0.238532836,4.894376504,5.271114229,0.102209945,0.230848125,0.374,7.6,0.334,0.162513637,0.154206033,0.296296296,613.2,37.78644564,0.105990507,0.000535714,0.000223274,0.000267929,6690,0.33,0.4,0.790573973,0.401390236,0.030627519,0.259,5.002608335,0.30614915,8.482142857,89.34912598,105.6013063,10,0,0.092552422,0.870576711,0.52,73.40878366,594.6935785,102.6250405,13.18051576,0.150659202,0.171417932,0.136,235,0.151,0.02601627,22.23473956,27.2659252,0.401100585,0.134299043,0.028718388,0.00120568,0.88,,2.688775131,2.56336673,47918,0.631025958,39.73521358,39.65363718,10.14546054,16.95583267,20.4103365,,26.58874815,0.744159048,0.087444291,0.69206211,22394,0.203492007,0.166696437,0.210726087,0.004599446,0.002143431,0.001161025,0.027819952,0.744083237,0.003352536,0.467312673,0.683526075
AL,Blount County,11096.05065,0.219856096,4.98662195,5.357809102,0.074305406,0.229549589,0.33,7.9,0.333,0.156344859,0.158332838,0.182926829,303.4,31.23977756,0.141159969,0.000207469,0.000190226,0.000172933,4440,0.37,0.4,0.804905632,0.557509573,0.026686669,0.21,4.427837913,0.224573736,7.780082988,482.6906109,107.5916086,10.6,0,0.101256646,0.875195943,0.579,74.37087378,519.980962,82.12785814,6.245961663,0.148124714,0.171295702,0.146,90.9,0.136,0.028801498,21.87944426,28.66696157,0.388471091,0.179347023,0.044703177,0.000242106,0.929255875,0.175619835,2.901714404,2.781496533,52902,0.504369675,42.76291096,22.04516954,6.919611414,20.02209766,21.44913096,11.26984127,43.30956196,0.787787212,0.07804803,0.730081067,57826,0.229222149,0.187009304,0.015079722,0.006398506,0.003199253,0.001158648,0.096530972,0.867706568,0.01618463,0.507626327,0.89951502
AL,Bullock County,10801.61279,0.314449319,5.513442487,5.394800262,0.154279279,0.24905713,0.466,5,0.424,0.025013744,0.117455315,0.545454546,1222.2,45.50209205,0.118735431,0.000295916,0.000198,0.000297,5645,0.32,0.29,0.746796226,0.321657251,0.036322125,0.399,5.630648644,0.73666824,7.891102782,311.0273327,98.82571794,9.2,0,0.202997275,0.809446631,0.473,74.44035871,522.8848903,,,0.1787152,0.181598055,0.295,560.1,0.205,0.197433507,,47.93929516,0.446527138,0.15785124,0.025737015,0.000792001,0.875,,2.110535605,1.96826778,31906,0.76077886,38.3111613,36.16737356,13.69694147,,25.19086928,,40.41545917,0.711161602,0.16112532,0.600965635,10101,0.208494209,0.169389169,0.690822691,0.008316008,0.002079002,0.007623008,0.085536086,0.20997921,0.00649083,0.454707455,0.513743815
AL,Butler County,12847.75783,0.27886721,5.387610451,5.718074588,0.123086344,0.228268066,0.468,6.8,0.403,0.485797489,0.125562328,0.307692308,933.2,36.93045564,0.119018326,0.000254065,0.000308515,0.000565611,8070,0.39,0.35,0.850495694,0.403040263,0.036489258,0.346,5.010831628,0.413243547,9.654471545,581.5840052,98.88502094,8.9,1,0.118439716,0.860485934,0.306,74.15384618,567.5820626,89.52050579,,0.169435374,0.185264872,0.195,344.4,0.191,0.029261219,,34.36770581,0.4197117,0.153215749,0.029069767,0.000719868,0.83,,2.526134007,2.118341767,39944,0.707462687,34.62673285,34.29418514,17.18385291,9.863932938,21.18964734,8,58.023787,0.699508146,0.10561386,0.645865355,19448,0.219765529,0.208196216,0.446318388,0.003959276,0.014345948,0.000411353,0.01486014,0.510952283,0.001606082,0.535993418,0.712321574
AL,Calhoun County,11326.67726,0.236610574,4.89502775,5.683091019,0.093943272,0.212343178,0.397,6.6,0.311,0.477212158,0.137202635,0.150943396,595.3,32.31714297,0.111038294,0.000638799,0.000677787,0.001223538,5879,0.33,0.4,0.844326743,0.588384276,0.035382718,0.246,4.843411014,0.303199224,14.2635876,756.0665443,91.99760492,10.8,0,0.12594235,0.843751986,0.309,73.45688939,557.3276955,69.56556807,8.268107155,0.15244868,0.178228299,0.17,261.3,0.174,0.091785666,19.84764017,20.98093962,0.382687048,0.140906803,0.028512918,0.000642577,0.911838341,0.063683305,2.945480411,2.786958409,47747,0.586594433,44.39809377,40.8338361,10.05595331,20.43099242,27.05811909,35,170.8142257,0.70068378,0.105189144,0.751462841,113605,0.215421856,0.180863518,0.209981955,0.00532547,0.009013688,0.001117909,0.04061441,0.717081114,0.008841774,0.52043484,0.336968256
AL,Chambers County,10371.42268,0.250739234,5.027349878,5.469922166,0.126683655,0.232161564,0.423,6.7,0.287,0.618646792,0.136704865,0.297297297,711.9,42.28817469,0.116105291,0.000416481,0.000180429,3.00716E-05,5784,0.36,0.43,0.81621758,0.497990959,0.029337059,0.304,4.798512586,0.340835103,18.14666072,528.9997362,91.36863089,10.2,0,0.148594378,0.862114568,0.296,75.02210961,492.7964786,85.09431286,7.774898186,0.15793912,0.175666348,0.184,398.9,0.164,0.103285583,10.93635044,21.53843555,0.405105108,0.146514435,0.027458672,0.000150358,0.806860841,0.136331694,2.634106621,2.497681651,42015,0.704474273,25.54035123,24.4183267,11.82502344,23.60725145,24.91871752,32.25806452,114.6675128,0.674598453,0.118579882,0.694229625,33254,0.207884766,0.201930595,0.397876947,0.003277801,0.011246767,0.000451074,0.026192338,0.551241956,0.003194484,0.52201239,0.491480345
AL,Cherokee County,11736.51381,0.22887768,4.909955225,5.567413098,0.084951456,0.235596974,0.384,7.7,0.304,0.334295279,0.159408324,0.22,386.7,32.67973856,0.134828072,0.000384143,0.000152695,0.000229043,5178,0.35,0.5,0.815725336,0.480059635,0.029127887,0.233,4.831333601,0.210676835,8.451137062,330.438792,105.6536258,10.3,0,0.116720704,0.820780537,0.458,74.47838936,533.5795815,74.50084434,,0.155688176,0.180784157,0.157,115.1,0.156,0.002211124,16.64852404,35.73215179,0.378639717,0.167600747,0.036179173,0.000801649,0.94,,2.784754319,2.646747671,45982,0.62455516,36.50125872,34.98175994,8.245881182,23.268367,27.76299655,22.5,1.023964257,0.773400391,0.082388359,0.707273913,26196,0.188845625,0.2353031,0.040807757,0.006909452,0.003931898,0.00030539,0.017140021,0.91670484,0.004450558,0.506565888,0.85736273
AL,Chilton County,10109.41791,0.241533327,4.933986107,5.471014594,0.086451613,0.234320422,0.419,7.6,0.333,0.462937928,0.145032047,0.219178082,342.7,44.51906413,0.163405897,0.000226485,0.000292608,0.0005402,3869,0.38,0.42,0.817812687,0.401338367,0.027147038,0.231,4.930771761,0.280553204,14.94802165,507.810721,92.05013331,10.2,0,0.146392367,0.838150959,0.505,74.90765973,507.8009053,49.80315894,6.086266208,0.156994595,0.178172467,0.19,141.7,0.158,0.01460531,15.83137326,25.9391597,0.38729295,0.210558649,0.04498655,0.000225083,0.87,,2.822341241,2.720820186,49692,0.611458466,39.49096226,32.80207468,5.836310933,14.02714567,14.05691691,,41.79725003,0.744963668,0.12067011,0.687008921,44428,0.238385703,0.171063293,0.099306744,0.005627082,0.004884307,0.001733141,0.081840281,0.798617989,0.016684425,0.509318448,0.867447242
AL,Choctaw County,11232.13394,0.263823115,5.2107374,5.607516886,0.113034623,0.232897644,0.472,6.1,0.337,0.289342665,0.135301097,0.619047619,378.5,31.70028818,0.134894662,0.000389378,0.000476607,7.94344E-05,5039,0.48,0.34,0.81380641,0.596660482,0.046680942,0.304,5.896533008,0.44256627,21.80515536,128.4146626,94.51795841,8.9,0,0.114364135,0.846134969,0.461,74.70887649,507.2626965,,,0.162985739,0.182902234,0.179,225.8,0.207,0.072904191,,39.43606428,0.417158305,0.167858125,0.040831758,0.000397172,0.825,,2.549412685,2.128404244,39808,0.765384615,46.75960669,45.44233241,,,15.49474728,,1.456848844,0.809056604,0.078012728,0.613018868,12589,0.196997379,0.235840813,0.41575979,0.002065295,0.001985861,0,0.010167607,0.563269521,0.00244978,0.528318373,1
AL,Clarke County,11294.15193,0.267888581,5.325835263,5.578688999,0.130102041,0.243365011,0.361,5.7,0.405,0.252700035,0.138060409,0.289473684,577.2,39.18257051,0.125569325,0.000543478,0.000338667,0.000719668,5206,0.36,0.3,0.805664878,0.40952381,0.057694853,0.286,8.306740028,0.319173146,15.88628763,475.312436,86.99830975,9.1,0,0.128125,0.884379486,0.4,74.56334131,509.2606182,86.33093525,,0.170390302,0.185194409,0.248,172.2,0.211,0.111547123,15.35776614,32.19311185,0.426967792,0.160578662,0.030929756,0.000677335,0.928448795,0.12166405,3.008578223,2.777250911,43822,0.712824765,16.36619718,14.64668981,,16.54510066,19.05677261,26.8,46.73300733,0.700990099,0.117303953,0.574917492,23622,0.213064093,0.205020743,0.447421895,0.005630345,0.004360342,0.000211667,0.01312336,0.521082042,0.000791174,0.527855389,0.759803352
AL,Clay County,10819.87509,0.252047245,5.140227567,5.651666097,0.085148515,0.252308433,0.373,7.5,0.338,0.637812231,0.155590488,0.476190476,643.4,35.81765557,0.159393705,0.000376648,0.000151115,0.000151115,6054,0.36,0.44,0.766888678,0.342303906,0.029995083,0.26,4.740232999,0.29049676,11.29943503,309.0672128,95.63086486,7.4,0,0.095505618,0.87374015,0.39,74.89959218,515.8440044,,,0.164009102,0.187164226,0.162,175.5,0.159,0.023268799,,32.99206062,0.388536246,0.198138814,0.046043166,0.000453343,0.875,,2.783569439,2.529710142,40562,0.659528908,16.22779225,15.97741297,,22.67761045,19.42501943,8.461538462,0,0.75452097,0.071676537,0.701038861,13235,0.201662259,0.210426898,0.134945221,0.005666793,0.002871175,0,0.032867397,0.803475633,0.000948092,0.512882509,1
AL,Cleburne County,11427.733,0.228225817,4.897689766,5.468231352,0.079734219,0.240880503,0.34,7.2,0.26,0.414841037,0.156724968,0.285714286,261.7,31.70320405,0.135975201,0.000200174,,0.000536553,4838,0.27,0.41,0.790287186,0.456110155,0.031519118,0.179,4.710191435,0.167011528,7.339694402,103.3333333,105.7011734,9.8,0,0.127272727,0.845799558,0.545,74.41729032,538.7579216,95.32189471,,0.154954854,0.181756476,0.139,127.3,0.175,0.020717158,,37.20912482,0.382410384,0.173543124,0.041029994,0.000134138,0.94,,3.122187396,3.075677455,51276,0.541003185,36.48289668,28.05486959,,14.09532735,21.40783259,11.875,21.73988941,0.761267606,0.079984979,0.643309859,14910,0.225419182,0.201743796,0.027498323,0.005298457,0.00221328,0.00073776,0.025955734,0.928169014,0.00739319,0.507712944,1
AL,Coffee County,8355.369636,0.215347527,4.565030945,4.816980619,0.087064677,0.213833785,0.367,7.2,0.316,0.537238728,0.15728801,0.314814815,601.5,26.08232789,0.125230762,0.000462348,0.000324787,0.000764205,4561,0.4,0.38,0.859263877,0.64449127,0.029109429,0.218,4.865987743,0.294966963,13.87042709,276.2080442,65.36149937,9.1,0,0.106269113,0.870440815,0.28,76.44413986,434.5122167,46.80028487,5.537609599,0.137701045,0.159102361,0.159,141.2,0.156,0.059812031,8.326661329,16.64775297,0.374011159,0.161719183,0.034150544,0.000687784,0.940902062,0.072992701,3.020489127,2.87277299,57299,0.461317168,36.93163038,29.65745621,4.439400792,12.18887576,15.47017737,21.22807018,109.1367706,0.657448304,0.087548434,0.800391488,52342,0.236788812,0.172538306,0.170608689,0.014023155,0.016774292,0.003935654,0.07968744,0.694241718,0.012733464,0.508196095,0.471950829
AL,Colbert County,10466.66013,0.216643468,4.588112933,5.2748241,0.106043066,0.220414546,0.37,7,0.35,0.557323437,0.156642096,0.242857143,425.7,31.38489209,0.113278561,0.000639129,0.000488767,0.00036205,6521,0.4,0.47,0.851561898,0.525625474,0.037427049,0.194,4.753034301,0.288549883,16.79997078,400.0073565,77.63491814,7.5,0,0.135774392,0.896274588,0.286,74.62560827,517.7705218,54.50422953,9.056244042,0.143961292,0.169608692,0.167,111.6,0.164,0.065517045,9.72626639,25.12194611,0.398248459,0.143095562,0.028766661,0.001484405,0.929805085,,3.015519633,2.896152953,46683,0.525778331,32.41381044,24.86967636,5.233738774,18.8269312,21.97214664,20.78431373,155.543477,0.721937843,0.103032358,0.700868373,55241,0.209174345,0.200304122,0.160007965,0.006915154,0.006770334,0.0007241,0.032385366,0.77723068,0.005829718,0.521949277,0.438946866
AL,Conecuh County,13182.33195,0.293171666,5.441427004,5.761218724,0.136831276,0.258404556,0.421,5.8,0.426,0.370199577,0.128316583,0.178571429,657.6,35.62945368,0.124812674,0.000407266,0.000165741,0.000580095,12212,0.35,0.45,0.843314842,0.393825301,0.039708802,0.347,4.829614466,0.46812596,7.330781136,387.409201,92.11376858,8.8,0,0.134676564,0.889365761,0.37,73.08896157,611.5220743,,,0.175196249,0.191798871,0.24,267.4,0.195,0.132297763,,28.59201482,0.438750789,0.157726877,0.033642691,0.000248612,0.825,,2.267557265,2.333427736,41539,0.669242658,23.37846708,22.99651956,12.58048652,,19.39237233,15.83333333,29.39448455,0.761036679,0.078972868,0.526905337,12067,0.205021961,0.23468965,0.454545455,0.005552333,0.002320378,0.000248612,0.022955167,0.503604873,0,0.522830861,0.809495011
AL,Coosa County,12686.59035,0.256440557,5.166221316,5.394006406,0.141045959,0.246022141,0.448,6.7,0.358,0.064217003,0.143296624,0.344827586,613.7,37.34876381,0.125736492,,,9.37822E-05,4737,0.36,0.42,0.799975784,0.40117746,0.029676852,0.278,4.571436359,0.289283731,11.19925338,254.8321954,112.2817523,9.8,0,0.12960761,0.821349693,0.401,74.92080269,493.2078513,168.0436914,,0.161142013,0.179446381,0.256,168.9,0.164,0.101248075,,41.21189561,0.411742657,0.148657289,0.04415011,0.000187565,0.825,,2.481397373,2.3088048,42024,0.639439907,55.66904423,55.44325394,,,26.19907555,12.5,20.077648,0.792410714,0.092373792,0.69469246,10663,0.163837569,0.240832786,0.305073619,0.006095845,0.00168808,0.00168808,0.026259027,0.65131764,0.003656307,0.499671762,1
AL,Covington County,11526.03084,0.234034393,5.038966627,5.35028322,0.103280286,0.234249901,0.358,6.9,0.365,0.50234344,0.15033658,0.204081633,428.7,41.66099387,0.122106722,0.000486671,0.000377878,0.000701773,9451,0.4,0.4,0.834143747,0.525784221,0.034114866,0.266,5.110879781,0.291411043,12.43713838,331.1214245,81.53631585,8.8,0,0.120379457,0.889526151,0.28,73.72812936,561.0268853,85.94757198,,0.154023214,0.175470093,0.167,154,0.177,0.043703268,10.79845582,25.55106399,0.377057509,0.154801127,0.036487618,0.00083673,0.941120907,0.083737864,2.934725219,2.668121746,44836,0.544923776,43.11917358,39.89209094,4.576309969,16.00748775,20.92050209,17.83783784,52.19421452,0.744748182,0.102755454,0.706706168,37049,0.220302842,0.213770952,0.123647062,0.007557559,0.005020378,0.000107965,0.018543011,0.830629707,0.001512773,0.516127291,0.69651794
AL,Crenshaw County,10407.25719,0.245175618,5.011163881,5.483306131,0.101338432,0.231017019,0.353,6,0.344,0.223500647,0.142610513,0.588235294,692.1,33.12412831,0.127886003,0.000144676,0.000145222,0.0006535,7005,0.41,0.4,0.791950464,0.472436095,0.028258184,0.25,5.478515625,0.378622022,10.12731482,331.907361,82.20007787,9,0,0.097947761,0.800567275,0.449,74.39847226,549.9097064,,,0.157501437,0.181562901,0.198,181.1,0.166,0.170390604,,29.80288985,0.385723295,0.160384423,0.044231364,0.000871333,0.925,,2.79990848,2.553168923,43309,0.645462634,10.3735277,9.930971711,,,14.42106629,,53.02971166,0.754804774,0.077760836,0.651223953,13772,0.227708394,0.193944235,0.235986059,0.00660761,0.011036886,0.000435667,0.024179495,0.702657566,0.005821078,0.51459483,1
AL,Cullman County,10114.96338,0.218074646,4.865950959,5.204874052,0.082789619,0.226251239,0.357,7.6,0.341,0.416536079,0.153899361,0.288,235.6,38.15937149,0.138283966,0.000527312,0.000501385,0.001480279,6117,0.44,0.44,0.81554239,0.531486638,0.025824147,0.17,4.388905325,0.218748324,11.26531004,129.3922855,96.03296971,10.5,0,0.124135713,0.865581533,0.331,74.47097907,492.7472497,52.20394341,5.528881129,0.152154185,0.173915853,0.154,92.8,0.151,0.031096063,20.80291241,24.45619652,0.365164124,0.176957261,0.037623355,0.000955019,0.937560976,0.104914693,3.119827164,2.99585269,50897,0.497197885,82.48288307,28.95122713,4.336205057,21.30732742,14.95990985,12.82352941,72.38600846,0.748082748,0.086491108,0.741058194,83768,0.224572629,0.187840225,0.012474931,0.006434438,0.007246204,0.000811766,0.044790373,0.916770127,0.006277496,0.505682361,0.732395592
AL,Dale County,10261.08854,0.221247228,4.69814895,5.085321558,0.081845886,0.214932104,0.418,6.3,0.317,0.463871366,0.155160976,0.255319149,686.6,33.74501605,0.110127283,0.000204265,0.000366062,0.000955829,4863,0.41,0.42,0.861201468,0.580443828,0.030978576,0.278,4.835805871,0.293496436,11.43884304,436.7214188,80.44039083,9.2,0,0.133864542,0.864034871,0.25,75.34233768,496.0782001,73.04278537,7.317073171,0.147661703,0.16852213,0.156,311.5,0.18,0.105593803,6.786378381,20.25972974,0.408293992,0.142136746,0.027686451,0.000732124,0.941064718,0.103666245,2.898242053,2.746068748,45120,0.646175505,28.76787488,26.7530412,6.077918921,19.38069611,21.93828841,,76.44909666,0.600872062,0.108627626,0.769754334,49172,0.227527861,0.172903278,0.204547303,0.00858212,0.014500122,0.001809973,0.070161881,0.679756772,0.012748121,0.507565281,0.508885395
AL,Dallas County,13775.90793,0.300707284,5.322943702,5.441576184,0.13943418,0.249196788,0.422,5.3,0.329,0.59637152,0.118518336,0.421052632,747.2,36.40676568,0.11383125,0.000756983,0.000322615,0.000618346,7664,0.43,0.36,0.818435115,0.520214429,0.05485691,0.41,5.951357987,0.633532423,12.5293657,924.5611684,114.8779741,9.7,0,0.194419169,0.907691211,0.289,72.2290687,627.5469853,56.47894142,7.46911807,0.17550526,0.190158762,0.172,473.4,0.227,0.115562709,,34.33881681,0.440393488,0.14918638,0.024934383,0.000699,0.90648289,0.121974371,2.482947088,2.2260336,34034,0.813436522,51.88760641,51.58092371,33.98112081,12.35058407,38.8032268,25.90909091,108.109054,0.593400377,0.157217723,0.696543055,37196,0.233224003,0.188756856,0.703247661,0.003064846,0.00448973,0.000457038,0.011533498,0.26970642,0.00198607,0.538176148,0.456389776
AL,DeKalb County,10537.37266,0.271673209,5.485424636,5.854814813,0.083232602,0.250827345,0.303,7.3,0.328,0.450378996,0.134111514,0.256097561,251.3,37.23336314,0.188486791,0.000392239,0.000293653,0.000265686,5915,0.35,0.44,0.748447593,0.457126437,0.028017519,0.294,4.878147029,0.218680377,8.685298032,312.3306881,107.4198208,7.7,0,0.111459969,0.841800007,0.324,74.5134585,500.8680497,65.03548047,7.205623902,0.175094444,0.193516241,0.158,102.9,0.166,0.021669646,29.36857562,23.26406925,0.388134089,0.244886678,0.050064983,0.000629256,0.932816282,0.072258717,2.651262829,2.723096127,44277,0.676679907,44.14463906,30.815678,4.612703385,22.90921125,18.7914569,8.915662651,41.16930844,0.715322581,0.088276094,0.719930876,71513,0.239411016,0.176205725,0.014780529,0.0202201,0.005187868,0.006068827,0.150657922,0.798498175,0.034436987,0.502510033,0.901306445
AL,Elmore County,8111.782445,0.19367015,4.210760142,4.895493374,0.09456986,0.193102276,0.348,7.4,0.245,0.517307038,0.146567769,0.415384615,499.5,26.34613167,0.098852454,0.000256451,0.000160081,0.00022165,5677,0.44,0.41,0.866239994,0.54917409,0.026061493,0.177,4.411515502,0.210133392,11.11287506,238.6766637,76.21801784,10.6,1,0.11162631,0.86443662,0.436,76.29608958,420.0656163,67.09295798,7.499234772,0.127895629,0.15556852,0.151,273.6,0.143,0.069430217,10.2135448,19.12552486,0.38816444,0.125848742,0.029975197,0.000381731,0.903685048,0.152231604,3.04220366,2.95007406,62310,0.499621499,27.36281011,26.85237388,7.720395354,19.37744747,23.28203117,,85.79097287,0.732563619,0.107988166,0.815234954,81209,0.223238804,0.155857109,0.209065498,0.005085643,0.007511483,0.001132879,0.031560541,0.730842641,0.009567186,0.516851581,0.541883661
AL,Escambia County,11842.75411,0.281678518,5.328968851,5.603439468,0.096116505,0.254330225,0.365,6.3,0.335,0.481301704,0.145742916,0.271186441,491.4,42.54767155,0.149410606,0.000326548,0.000382169,0.000627849,7234,0.34,0.37,0.811361615,0.387382744,0.03481913,0.271,5.38080319,0.408663127,14.96680091,446.2453158,120.7437817,8.8,0,0.111909263,0.898489999,0.28,73.42334939,586.1500275,78.47872019,9.352037408,0.172315404,0.185915163,0.189,230.2,0.194,0.0721994,35.18966326,24.42179493,0.429199987,0.19509809,0.039056918,0.000545956,0.921096939,0.113674733,2.881991581,2.714771458,42712,0.672815353,34.4988331,32.63220384,11.82930692,21.44582647,24.68539537,25.40540541,65.41316799,0.683245473,0.098190122,0.609519444,36633,0.224551634,0.182649524,0.309911828,0.038981246,0.003330331,0.000818934,0.025987498,0.603117408,0.0041197,0.49703819,0.635115739
